# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-03-23 19:53:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/hciwtidq.json
# init = 2 (Default)
# random
#   seed = 92789
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-BOW-SciBERT.h-nondens/hreg-20250323145307_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,log_p
# Adaptation terminated
# Step size = 0.427157
# Diagonal elements of inverse mass matrix:
# 3.0532e-05, 2.14891e-05, 0.000219592, 0.00016063, 0.000147888, 0.000147442, 0.000261561, 0.00022648, 0.000212782, 0.000206429, 0.000419251, 0.000359874, 0.000372692, 0.0003707, 0.000138277, 0.00019167, 0.000205227, 0.000307411, 0.000237332, 0.000213152, 0.000201152, 0.00021001, 0.000269572, 0.000243279, 0.00022811, 0.000378598, 0.000378494, 0.000213636, 0.000192265, 0.000235233, 0.000383309, 0.000400763, 0.000276948, 0.000354765, 0.000338021, 0.000262284, 0.000261586, 0.000273211, 0.00212442, 0.000936298, 0.000376187, 0.00090011, 0.092884, 0.0795005, 0.0875324, 0.0898629
-18755.6,0.965352,0.427157,4,15,0,18774.2,-0.00624388,0.968694,0.208544,-0.0175591,0.230119,0.12459,0.309752,0.192449,0.0809993,0.0584361,0.200334,0.156538,-0.0504707,0.0898576,0.0654988,-0.0126563,0.147047,0.0732492,0.158022,0.159039,-0.0587057,-0.0395911,-0.12127,-0.11958,0.00632066,-0.019366,-0.0779957,-0.0702431,-0.0266741,0.0365854,0.0659636,0.035795,0.0394637,0.0531752,-0.0110812,0.163181,-0.0425851,0.0407417,0.156983,0.0966652,-0.0479,0.0435277,0.114283,0.0597156,0.0362588,0.0465291,-19161.6
-18765.5,0.597578,0.427157,3,7,0,18789.3,-0.00733778,0.971701,0.201826,-0.0247298,0.229792,0.115303,0.320742,0.209089,0.090533,0.0953513,0.225574,0.16716,-0.0415038,0.073504,0.0358595,0.0104128,0.114278,0.0710543,0.176909,0.157663,-0.0710506,-0.0278612,-0.121405,-0.103966,-0.00287097,-0.036652,-0.108277,-0.0585948,-0.0440519,0.0334399,0.0774183,0.0514588,0.0561494,0.0298467,-0.0147095,0.165063,-0.0298942,0.0178207,0.132119,0.100365,-0.0683693,0.0563071,0.106391,0.0738534,0.0363017,0.0527705,-19162.9
-18764.7,0.944323,0.427157,3,7,0,18793.5,-0.00963104,0.968218,0.222858,0.00800535,0.288018,0.111639,0.284963,0.190131,0.145613,0.0469794,0.213658,0.161924,-0.0423431,0.09214,0.0692668,-0.0272394,0.159725,0.0575456,0.173633,0.16977,-0.0710692,-0.0785712,-0.0874097,-0.144166,6.12056e-06,-0.00850658,-0.101898,-0.109787,0.0176451,0.0687092,0.10027,-0.01468,0.0078826,0.0388646,-0.0296622,0.237367,-0.01958,0.100991,0.153422,0.0936753,-0.0584806,0.0347848,0.107771,0.131045,0.0715928,0.100623,-19243.6
-18759.9,1,0.427157,3,7,0,18782.9,-0.00786362,0.968882,0.211414,0.00658466,0.29231,0.104482,0.298295,0.184945,0.154105,0.0478621,0.213288,0.169347,-0.0406465,0.0980616,0.0668696,-0.0270125,0.155519,0.0565306,0.165908,0.172097,-0.0674117,-0.0734567,-0.0941759,-0.1428,0.00120454,-0.00978309,-0.103647,-0.116486,0.00974161,0.0668513,0.0946872,-0.0195762,-0.000623591,0.0366186,-0.0223692,0.230561,-0.0116427,0.0800844,0.138158,0.0710115,-0.0668303,0.0485031,0.117686,0.135882,0.0667355,0.0852962,-19231.7
-18761.1,0.969813,0.427157,3,7,0,18781,-0.00157082,0.969533,0.221138,-0.054457,0.249928,0.108056,0.307368,0.186268,0.147657,0.0963483,0.222927,0.1737,-0.0188517,0.0744177,0.046004,-0.00810896,0.14679,0.0524153,0.181164,0.155062,-0.0618641,-0.0653421,-0.0874783,-0.120008,0.0169272,-0.00162908,-0.1347,-0.0866958,0.00900863,0.0407895,0.0967949,0.0156757,0.0288627,0.0415587,-0.0274579,0.196448,-0.0340028,0.0195459,0.237634,0.0689182,-0.10516,0.037988,0.146951,0.119299,0.0742897,0.0627168,-19205.2
-18762.7,0.981662,0.427157,3,7,0,18781.7,-0.013338,0.968079,0.218129,0.00383417,0.294111,0.101966,0.320076,0.202536,0.0804241,0.038367,0.242189,0.141214,-0.0495239,0.0768262,0.077293,-0.0295506,0.147411,0.0850311,0.163491,0.140436,-0.0659689,-0.0528248,-0.117251,-0.129182,-0.00768236,-0.0604414,-0.0886802,-0.0625453,-0.0198262,0.0628214,0.0861504,0.00265594,0.019396,0.0609296,-0.0381344,0.204051,-0.0286481,0.105121,0.113059,0.109713,-0.013811,0.0554793,0.0983195,0.120468,0.0491939,0.0848184,-19212.6
