# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-03-23 19:20:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/44zgqk5d.json
# init = 2 (Default)
# random
#   seed = 4772
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-BOW_j.h-nondens/hreg-20250323142041_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.401043
# Diagonal elements of inverse mass matrix:
# 2.27954e-05, 1.67258e-05, 0.000172751, 0.000109127, 0.00011243, 0.000163357, 0.000137026, 0.000129099, 0.000240645, 0.000158931, 0.000143856, 0.000125985, 0.000138588, 0.00011943, 9.92156e-05, 0.000110189, 9.57134e-05, 0.000153327, 0.000129576, 0.000139507, 0.000170736, 0.000124587, 0.000122148, 0.000187453, 0.000167438, 0.000130722, 0.00017553, 0.000144663, 0.000118926, 0.0027935, 0.0013751, 0.000450861, 0.0845476, 0.0895153, 0.11511
-33822.7,0.971944,0.401043,4,15,0,33837.3,-0.00933621,0.970498,0.205821,-0.0343138,0.269005,0.125756,0.275015,0.151726,0.0765226,0.058344,0.241698,0.185407,-0.0440396,0.088209,0.0708802,0.011107,0.169067,0.122262,0.165159,0.184115,-0.052037,-0.034973,-0.088705,-0.122067,0.00873685,0.000798952,-0.0302041,-0.077022,0.0165194,0.203188,0.113272,-0.0192615,0.17394,0.0596819,0.0671811,-34294
-33827.4,0.889581,0.401043,3,7,0,33842.2,-0.017875,0.970284,0.208965,-0.0375732,0.283305,0.119848,0.265292,0.121009,0.0836472,0.0596493,0.242199,0.175886,-0.0421244,0.0718666,0.0702837,0.0169936,0.168231,0.111455,0.159681,0.188127,-0.0502194,-0.0308917,-0.061489,-0.111244,0.00535771,-0.00460179,-0.0424009,-0.0920879,0.0250174,0.066024,0.0921905,-0.0406274,0.185709,0.124969,0.0560687,-34277
-33824.6,0.981566,0.401043,3,7,0,33844.5,-0.0039247,0.969944,0.224475,-0.039847,0.252182,0.106323,0.286561,0.145583,0.0893513,0.0700374,0.224304,0.156021,-0.0195271,0.0755455,0.0889837,0.0168268,0.183768,0.126151,0.157899,0.164504,-0.0460715,-0.0495082,-0.0868926,-0.141149,0.008137,-0.0153982,-0.0458296,-0.0720051,0.000422177,0.0899088,0.136662,-0.0131655,0.126234,0.107736,0.0537478,-34276.5
-33826.4,0.910632,0.401043,3,15,0,33846.4,-0.0121336,0.979474,0.192887,-0.0302058,0.265424,0.127092,0.287094,0.150939,0.0663165,0.0503194,0.245413,0.167187,-0.0377249,0.0965076,0.0725105,0.0224122,0.158179,0.127046,0.167387,0.161616,-0.0510693,-0.0313466,-0.0971089,-0.121337,0.00228161,-0.012801,-0.0580691,-0.0662255,0.0149036,0.0540041,0.105023,-0.032134,0.174826,0.0642575,0.0719223,-34253.9
-33824,0.942221,0.401043,3,7,0,33846.4,-0.00689819,0.965877,0.233828,-0.0564004,0.290567,0.110165,0.276042,0.108725,0.100061,0.0635383,0.259899,0.161407,-0.016412,0.0609366,0.0741997,-0.00135754,0.169454,0.118828,0.147205,0.176476,-0.0700698,-0.0607421,-0.0841531,-0.124563,0.00664723,-0.00997007,-0.0417164,-0.094145,-0.0136134,0.208885,0.0812833,-0.0856848,0.0956374,0.106993,0.0519285,-34314.3
-33823,0.99615,0.401043,3,15,0,33838.7,-0.0119078,0.976819,0.198373,-0.0350225,0.264485,0.130142,0.27803,0.147089,0.0815895,0.0646439,0.240494,0.162867,-0.0355042,0.0797829,0.0701506,0.0309153,0.164608,0.117553,0.160431,0.161581,-0.0565132,-0.038796,-0.111041,-0.125763,0.0073547,-0.00499741,-0.0607867,-0.070665,0.0276324,0.104736,0.124048,-0.0129298,0.147678,0.0613774,0.0542435,-34256
