# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-03-23 19:33:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/d_vbd1fl.json
# init = 2 (Default)
# random
#   seed = 52297
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-SBERT_j.h-nondens/hreg-20250323143319_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.462414
# Diagonal elements of inverse mass matrix:
# 2.46444e-05, 1.64724e-05, 0.000148766, 0.000119086, 0.000130122, 0.000115205, 0.000136909, 0.000118962, 0.000160986, 0.000184375, 0.000157034, 0.000120518, 0.000142146, 0.000146939, 9.91343e-05, 0.000128471, 0.000134825, 0.000176205, 0.000128061, 0.000126425, 9.11146e-05, 0.000105332, 0.000123373, 0.000174202, 0.000165778, 0.000154877, 0.000112923, 0.000132076, 0.00013271, 0.00263432, 0.000846609, 0.000333493, 0.0795639, 0.0888766, 0.0905632
-34184.1,1,0.462414,3,7,0,34197.7,0.00395639,0.978866,0.180145,-0.0639808,0.252122,0.11007,0.273168,0.184041,0.0198844,0.0351766,0.215489,0.169752,-0.0525811,0.0970369,0.0716914,0.00752076,0.155445,0.0520841,0.142242,0.158949,-0.0254517,0.0424881,0.0698721,-0.0142177,0.0347765,0.017272,-0.0613679,-0.0136744,-0.00671787,0.12705,0.0636076,0.000954677,0.0777521,0.100418,0.0369637,-34546.8
-34186.3,0.616713,0.462414,3,7,0,34205.2,0.0060411,0.97881,0.182021,-0.0672377,0.249002,0.1076,0.272959,0.169004,0.0238958,0.0353186,0.214919,0.168338,-0.046185,0.0993188,0.0629531,0.0159407,0.153346,0.0457705,0.14108,0.167029,-0.0244124,0.0456686,0.0657164,-0.0129987,0.0229483,0.0143831,-0.0644191,-0.0160709,-0.0153268,0.148249,0.0724376,-0.00125661,0.123122,0.110059,0.0408343,-34534.8
-34185.7,0.819609,0.462414,3,7,0,34206.1,0.00263926,0.980557,0.176918,-0.0777092,0.228829,0.114955,0.283239,0.181199,-0.000647768,0.0187054,0.183564,0.152654,-0.0681495,0.0951833,0.08579,0.00757735,0.181655,0.0925724,0.150049,0.152652,-0.0170512,0.069057,0.0607504,-0.0180368,0.0155457,0.00831485,-0.084156,0.00928396,-0.00997921,0.128057,0.131663,0.0168822,0.161024,0.0700842,0.0539108,-34522.4
-34190.4,0.789337,0.462414,3,7,0,34207.9,0.00179474,0.976424,0.160249,-0.0829275,0.250564,0.105543,0.302539,0.192296,0.0182882,0.0364971,0.219728,0.131693,-0.0249943,0.0982012,0.0557735,-0.0263036,0.159705,0.0698866,0.145283,0.150925,-0.0184049,0.0314241,0.0689509,0.000654563,0.0481372,0.0200547,-0.0890287,-0.00382586,-0.0261434,0.123446,0.119606,-0.0239418,0.098465,0.126999,0.0527673,-34554.1
-34184.3,0.9978,0.462414,3,7,0,34200.1,0.0054636,0.976731,0.183804,-0.0794297,0.253646,0.0971416,0.303248,0.180918,0.020235,0.0432346,0.211787,0.132058,-0.0338266,0.0824784,0.0493717,-0.0226762,0.172337,0.0713203,0.150241,0.148267,-0.0159556,0.0333363,0.0630025,0.000776167,0.0361053,0.014752,-0.0844187,-0.024089,-0.0234074,0.134638,0.119317,-0.00549342,0.0957157,0.0799342,0.0493184,-34547.3
-34181.3,0.992735,0.462414,3,7,0,34195.4,0.00497008,0.982075,0.192197,-0.0631176,0.24554,0.13636,0.298008,0.170979,0.026688,0.0261738,0.197246,0.149704,-0.0316751,0.0932703,0.0601868,-0.00248839,0.171852,0.076278,0.134377,0.153473,-0.0165708,0.0350962,0.0478936,-0.00805085,0.016036,0.0205831,-0.0811496,-0.00341348,-0.0158298,0.11054,0.0767555,-0.021429,0.154746,0.059474,0.0494627,-34541.5
