# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2024-09-28 21:16:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/jsmjgyh8.json
# init = 2 (Default)
# random
#   seed = 2375
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/h-SBERT_j/hreg-20240928161647_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.508293
# Diagonal elements of inverse mass matrix:
# 2.23256e-05, 1.73943e-05, 0.000112876, 0.000137064, 0.000174517, 0.000135012, 0.000101796, 0.0001513, 0.00011838, 0.000181771, 0.000114352, 0.000362588, 0.0838491
-35856.9,0.956572,0.508293,3,7,0,35861.9,0.00509302,1.00332,-0.00491063,0.0516184,0.104145,0.0136864,0.061892,0.0108431,-0.0624653,0.00175222,0.0547478,0.025615,0.0837731,-101599
-35862.6,0.819475,0.508293,3,7,0,35871.1,0.00472675,1.00022,0.00916061,0.0400991,0.103353,0.0204582,0.0889511,0.0678566,-0.050837,0.00097993,0.0726786,0.109213,0.0756915,-101601
-35856,0.921519,0.508293,3,7,0,35869.2,0.00417854,1.00461,0.000888559,0.0431319,0.114614,-0.000340217,0.0553952,0.0198641,-0.0550962,0.00305799,0.0442822,0.021906,0.0759425,-101599
-35857.1,0.899383,0.508293,3,7,0,35863.9,0.00321472,0.998958,0.0209818,0.0283798,0.122989,0.0290649,0.0711691,0.0405142,-0.0666385,-0.000600419,0.0541272,0.0158527,0.0697559,-101599
-35856,0.905706,0.508293,3,7,0,35862.9,0.00522859,1.0036,-0.00192167,0.0511996,0.107673,0.0117711,0.0764988,0.0194246,-0.0297082,0.0125036,0.0665491,0.047725,0.0407094,-101600
-35857.4,0.770247,0.508293,3,7,0,35867.5,0.00548791,1.00223,0.00998961,0.0419834,0.126867,0.0134478,0.08777,0.0193628,-0.0357368,0.0212723,0.065885,0.0399125,0.0400689,-101601
-35856.8,0.986086,0.508293,3,7,0,35862.4,0.00981862,1.00464,0.00817478,0.0503226,0.102357,-0.000455128,0.0917664,0.0219162,-0.0472364,0.00605511,0.0620121,0.0337,0.0473715,-101600
