# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-03-23 19:07:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/xz_mb8g2.json
# init = 2 (Default)
# random
#   seed = 13051
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-SBERT_j/hreg-20250323140758_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.465753
# Diagonal elements of inverse mass matrix:
# 2.31938e-05, 1.75033e-05, 0.000130696, 0.000120634, 0.000197903, 0.000158665, 0.000100674, 0.000125264, 0.000122362, 0.000191885, 0.000154468, 0.000402718, 0.0892931
-35897.5,0.995323,0.465753,3,7,0,35900.8,0.0074448,1.00284,-0.000286538,0.0497198,0.103244,-0.000790207,0.0801314,0.0303481,-0.0474738,-0.00805882,0.0628966,0.0132992,0.0573642,-33868.6
-35897.7,0.955256,0.465753,3,7,0,35901.4,0.00325973,1.00249,0.0169062,0.0208831,0.124029,0.00669742,0.0775917,0.0376575,-0.0778082,0.0142177,0.0473235,0.0473579,0.0507882,-33873.7
-35902.7,0.788645,0.465753,3,7,0,35907.1,0.000742577,1.00388,0.00102124,0.0403163,0.101174,0.0246484,0.0641162,0.06124,-0.059622,-0.0124039,0.0492271,0.00409807,0.0574189,-33867
-35901.6,0.973312,0.465753,3,7,0,35910.6,0.00983716,1.0017,0.0111698,0.0424055,0.123696,-0.0190206,0.0857574,0.0176468,-0.0774291,0.0278152,0.0663727,0.0326741,0.0734918,-33879.6
-35904.9,0.912504,0.465753,3,7,0,35910.3,-0.000446232,1.0021,0.00770093,0.0267385,0.130193,0.0402487,0.0873744,0.0401991,-0.0471072,-0.0150257,0.0470768,0.0656883,0.0818215,-33875.4
-35899.1,1,0.465753,3,7,0,35908.8,0.000897065,1.00316,0.00795366,0.043759,0.125506,0.000137258,0.0929474,0.0360292,-0.0668168,0.0124131,0.0496322,0.0808108,0.065579,-33879.1
-35898.7,0.740083,0.465753,3,7,0,35909,0.00930154,1.00281,0.0130155,0.0398289,0.122546,-0.00644705,0.0807364,0.0371798,-0.0528528,0.0128205,0.061947,0.0195481,0.104824,-33874.3
-35901.3,0.81658,0.465753,3,7,0,35908.8,-0.00147017,1.00129,0.0254994,0.0384769,0.130271,-0.0217884,0.0710284,0.0379182,-0.0519955,0.0157383,0.0511359,0.0399061,0.0426987,-33875.7
-35897.8,0.921994,0.465753,3,7,0,35908.8,0.000119244,1.00089,0.0194729,0.0452908,0.122662,-0.00415705,0.07331,0.0347957,-0.0461367,0.00690121,0.0423472,0.0352362,0.0459764,-33871
-35900,0.919632,0.465753,3,7,0,35904.8,0.0062932,1.00369,-4.80455e-05,0.0443819,0.0862995,0.0229598,0.0850842,0.0394352,-0.0537493,0.0234828,0.0644059,0.0372591,0.037381,-33867.5
-35898.3,0.90145,0.465753,3,7,0,35906.4,0.00354187,0.999507,0.0251881,0.0413913,0.121388,-0.00493511,0.0703616,0.0207075,-0.0680125,-0.013385,0.0477194,0.0339977,0.0655133,-33871.4
-35900.1,0.789218,0.465753,2,7,0,35912.2,0.00711233,1.00039,-0.00965022,0.0399945,0.127579,0.00846877,0.0913153,0.0368483,-0.0533983,0.0138891,0.0471216,-0.00434909,0.0775931,-33874.5
-35897.9,0.984597,0.465753,3,7,0,35905,0.00220941,1.00145,0.00812981,0.0285728,0.110447,0.00699038,0.0778767,0.0271653,-0.067529,0.0343039,0.0440814,0.0387213,0.0437202,-33868
-35898.5,0.786892,0.465753,3,7,0,35906,0.00324582,1.00094,0.00701395,0.029793,0.103521,0.00125498,0.0782848,0.034712,-0.0755933,0.0199102,0.0489122,0.0355328,0.0321166,-33868
-35898,0.964656,0.465753,3,7,0,35904.6,0.00527487,1.00129,0.0135369,0.0405175,0.117928,0.00499364,0.0768715,0.0362167,-0.0460821,-0.0105054,0.0569202,0.0270102,0.095195,-33870.4
-35901.6,0.913548,0.465753,3,7,0,35904.2,0.0052076,1.00227,0.00454757,0.0312033,0.0885004,-0.00068223,0.0810959,0.0384751,-0.0851239,0.0153351,0.050225,0.0231168,0.0309968,-33867.6
-35901.4,0.945445,0.465753,3,7,0,35905.4,0.00512076,0.999484,0.00876327,0.0405884,0.126036,0.00139778,0.0727534,0.0316763,-0.0393998,-0.0150169,0.0512207,0.0294663,0.107595,-33869.6
-35902.4,0.968335,0.465753,3,7,0,35907.1,0.00469541,1.00493,0.0156768,0.0423046,0.128943,0.0193213,0.089002,0.0282107,-0.0682187,0.0265235,0.0564605,0.0551791,0.0335194,-33880.1
-35903.8,0.790985,0.465753,3,7,0,35910.8,0.0077875,0.999766,-0.00482075,0.0217108,0.0938785,-0.0015394,0.0617719,0.0495171,-0.0388533,0.00653895,0.0586702,0.00373921,0.0706013,-33858.8
-35907.3,0.945923,0.465753,3,7,0,35913.6,0.00492845,1.00483,0.0213135,0.0517489,0.132772,-0.0287024,0.090132,0.0230685,-0.0843224,-0.0318427,0.0563866,0.0301562,0.0568983,-33887.8
-35906.3,1,0.465753,3,7,0,35913.3,0.0082565,1.0046,-0.00284136,0.0176633,0.0912705,0.0320132,0.0720109,0.0448967,-0.0377072,0.0362221,0.0526959,0.028783,0.0416186,-33861.1
-35902.9,1,0.465753,3,7,0,35912.1,0.0019802,1.00008,0.0126722,0.0641812,0.121555,-0.0132455,0.0747625,0.0169254,-0.079226,-0.0193524,0.0512078,0.0271533,0.0587399,-33877.7
-35900.1,0.744245,0.465753,3,7,0,35913.5,0.00315639,0.996672,0.0137993,0.0432689,0.11294,0.0179613,0.0796691,0.0290659,-0.0571797,0.0168125,0.0561079,0.0744647,0.0522479,-33870.4
-35903.3,0.879954,0.465753,3,7,0,35907.9,0.00361261,1.00819,0.00266873,0.0383175,0.134625,-0.000171802,0.0659418,0.0380343,-0.068759,-0.0167958,0.0422841,0.0343311,0.107979,-33875
-35899.5,0.938459,0.465753,3,7,0,35909.5,0.00675178,0.999469,0.0106204,0.0332786,0.0999927,0.014602,0.0947252,0.0349902,-0.0583509,0.0118961,0.0763583,0.0254648,0.038023,-33873.6
-35902.5,0.604173,0.465753,3,7,0,35910.3,0.00500295,1.00312,0.0162302,0.0270747,0.115798,0.00494134,0.0674154,0.0137538,-0.0760221,-0.0143759,0.0638275,0.0598735,0.130983,-33870.1
