# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2024-09-28 21:21:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/otxf_a0d.json
# init = 2 (Default)
# random
#   seed = 69465
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/h-SciBERT_j/hreg-20240928162103_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.528767
# Diagonal elements of inverse mass matrix:
# 2.20076e-05, 1.68736e-05, 0.000115828, 0.000111424, 0.000178022, 0.00014626, 0.000115321, 0.000279731, 0.000140833, 0.000176877, 0.000114483, 0.000866592, 0.0930591
-34837.6,1,0.528767,3,7,0,34845,-0.00749683,0.988244,0.0512973,0.0601189,0.0319815,0.0542421,0.0477734,-0.0339803,0.21741,-0.0195551,0.0858664,0.0847376,0.105873,-99929.8
-34835.2,1,0.528767,3,7,0,34839.1,-0.0137975,0.992798,0.0529754,0.0500559,0.0472277,0.038265,0.0411562,0.0296522,0.198828,-0.00873984,0.119068,0.0668524,0.0500038,-99929.7
-34836.5,0.820152,0.528767,3,7,0,34843,-0.00956492,0.987589,0.0561021,0.0611744,0.0306466,0.0509508,0.0502712,-0.038601,0.211689,-0.01851,0.0874348,0.0526799,0.0810572,-99929.9
-34836.9,0.89276,0.528767,3,7,0,34843.4,-0.00792385,0.987767,0.0503586,0.0498543,0.0529512,0.0388326,0.0376057,0.0194665,0.190796,-0.0100269,0.119221,0.0677958,0.0563507,-99931.9
-34839.7,0.837381,0.528767,3,7,0,34845.7,-0.0106808,0.986411,0.0469207,0.0667019,0.0495548,0.0558595,0.0427629,-0.0220686,0.219914,-0.0293264,0.0883353,0.0179723,0.140903,-99930.4
-34838.3,0.863261,0.528767,3,7,0,34851.5,-0.00947388,0.997411,0.0607465,0.0312952,0.0298829,0.0597397,0.047505,0.0172052,0.199062,-0.0134878,0.11407,0.0662873,0.0745117,-99932.6
