# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2024-09-28 21:56:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/otbqptgz.json
# init = 2 (Default)
# random
#   seed = 92838
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/h-Word2Vec_j.h-nondens/hreg-20240928165610_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.410614
# Diagonal elements of inverse mass matrix:
# 2.33854e-05, 1.65148e-05, 0.000158412, 0.000116651, 0.000106486, 0.000143116, 0.00011793, 9.92669e-05, 0.000239011, 0.000162175, 0.000191998, 0.000118786, 0.000147524, 0.000167041, 0.000128154, 0.000114035, 0.00010439, 0.000170557, 0.000116225, 0.00012177, 0.00024165, 0.000123979, 0.000111473, 0.000162554, 0.000130105, 0.000188967, 0.000156564, 0.000145009, 0.00013068, 0.00270975, 0.00106286, 0.000277946, 0.0884745, 0.0719028, 0.0854163
-33486.2,1,0.410614,3,7,0,33501,-0.00146808,0.970005,0.238208,-0.0637732,0.282011,0.113011,0.305163,0.172617,0.0709821,0.093374,0.286843,0.155203,-0.0258313,0.0809243,0.0962896,0.0125801,0.155375,0.131754,0.13427,0.130833,-0.0377999,-0.04065,0.00784504,0.0116076,-0.0297792,-0.0160319,0.000100118,-0.0942211,0.0249172,0.146226,0.10699,-0.0183426,0.120546,0.0625962,0.0317533,-99479.3
-33485.1,0.858338,0.410614,4,15,0,33504.3,-0.00459117,0.969602,0.231145,-0.0707902,0.275237,0.108292,0.308215,0.165845,0.0512665,0.0899158,0.250825,0.164212,-0.0389606,0.0841397,0.109147,0.042339,0.162478,0.128958,0.153893,0.157954,-0.0421116,-0.0261262,0.0120212,0.0185756,-0.0483244,0.00112109,0.00747697,-0.0980515,0.0236358,0.106184,0.116795,-0.0129013,0.109264,0.0987323,0.0369043,-99475.2
-33486.2,0.788496,0.410614,3,7,0,33501.3,-0.00578101,0.967319,0.205786,-0.0449197,0.295611,0.0991878,0.30692,0.177744,0.0370814,0.0949281,0.248794,0.151026,-0.0330141,0.0733888,0.0883639,0.0523958,0.152942,0.102491,0.147444,0.156777,-0.0415231,-0.0186918,0.00272823,0.00756707,-0.0430124,-0.00662689,-0.00129533,-0.111377,0.00585341,0.188181,0.0899378,-0.0500445,0.19534,0.0692456,0.0648453,-99475.6
-33485.4,0.983614,0.410614,4,15,0,33500.9,-0.00520541,0.967057,0.204192,-0.0420842,0.288524,0.0973535,0.307438,0.177177,0.0353339,0.0955156,0.244116,0.155343,-0.0278606,0.079503,0.0972494,0.0524461,0.147024,0.108198,0.14869,0.161023,-0.0453151,-0.0189297,0.0110669,0.0074859,-0.0454961,-0.00156162,-0.00122574,-0.111066,0.00831753,0.209877,0.100926,-0.037297,0.148226,0.0618079,0.0755802,-99475.4
-33482.8,0.864397,0.410614,3,7,0,33498.9,-0.00778808,0.971524,0.216068,-0.0544958,0.250157,0.122718,0.282278,0.157153,0.0714352,0.079443,0.283101,0.159559,-0.0340686,0.0970193,0.111086,0.0091765,0.164763,0.112908,0.155402,0.148,-0.0428305,-0.0187613,0.0284383,0.00704962,-0.0217555,-0.00152338,0.000823707,-0.105144,0.00560122,0.212579,0.103337,-0.00876643,0.140878,0.0578561,0.0361552,-99474
-33486.8,0.915188,0.410614,3,7,0,33497.4,-0.00779033,0.964058,0.237204,-0.0697373,0.282897,0.0950176,0.313204,0.174654,0.065012,0.0997894,0.251494,0.16398,-0.0451096,0.095004,0.0935991,0.0448319,0.163018,0.126209,0.151465,0.155708,-0.05279,-0.0092348,0.0097495,0.00356042,-0.0373005,-0.0109366,-0.00760703,-0.118803,-0.01148,0.110155,0.0990818,-0.021266,0.103284,0.136573,0.0571368,-99474.1
