# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2024-09-28 21:25:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/pq8jevwq.json
# init = 2 (Default)
# random
#   seed = 50328
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/h-Word2Vec_j/hreg-20240928162520_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.507059
# Diagonal elements of inverse mass matrix:
# 2.26777e-05, 1.67586e-05, 0.00011459, 0.000109449, 0.000139728, 0.000117495, 0.000104819, 0.000149884, 9.36473e-05, 0.000141226, 0.00012816, 0.00051952, 0.0983855
-35378.1,0.92477,0.507059,3,7,0,35387.5,-0.0158903,0.997071,-0.0185321,0.000438925,0.0931458,0.0474118,0.0607237,0.0109617,0.0329604,-0.0839531,0.0850184,0.0668348,0.0767089,-101336
-35375.9,1,0.507059,3,7,0,35383.1,-0.0056742,0.990596,-0.0102834,-0.0390347,0.0736812,0.0611999,0.0332371,0.0379373,0.048114,-0.0845193,0.0835957,-0.00912079,0.0491217,-101333
-35374.3,1,0.507059,3,7,0,35380.1,-0.0149136,0.996087,-0.00916173,-0.0123934,0.0679053,0.0412823,0.0410733,0.0151392,0.0322979,-0.082391,0.0842256,0.0166766,0.0919994,-101332
-35374.2,0.978576,0.507059,3,7,0,35378.3,-0.00245198,0.989637,-0.0136074,-0.0191725,0.0776534,0.0406587,0.043222,0.0260061,0.0287995,-0.0757953,0.0774656,0.000682644,0.068673,-101333
-35375.6,0.989103,0.507059,3,7,0,35380.5,-0.0105571,0.995932,-0.0339826,-0.0430483,0.0737506,0.0355381,0.047065,0.0477163,0.042304,-0.076078,0.0797312,0.00483126,0.0597767,-101335
-35376.4,0.881618,0.507059,3,7,0,35383.1,-0.0119388,0.987943,-0.0180092,-0.00290326,0.0778226,0.0508214,0.0666101,0.0343248,0.0534178,-0.0871942,0.0909663,0.0149166,0.0663127,-101335
-35378.9,0.899884,0.507059,3,7,0,35384.7,-0.00598852,0.998419,-0.0151548,-0.0250104,0.074345,0.0529562,0.0427488,0.0321499,0.00991764,-0.0913387,0.0886159,0.0815741,0.0791028,-101335
