# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-04-21 05:53:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/cpye2wcm.json
# init = 2 (Default)
# random
#   seed = 34838
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-asym_SBERT_j.h-nondens/hreg-20250421005302_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.386603
# Diagonal elements of inverse mass matrix:
# 2.29724e-05, 1.60724e-05, 9.60239e-05, 0.000133309, 8.54494e-05, 0.000107406, 0.000116786, 9.6718e-05, 0.000167354, 0.000149104, 0.000140447, 0.000142151, 0.000128389, 0.000123257, 0.000126423, 0.000114127, 9.86332e-05, 0.000145106, 0.000153136, 0.000129296, 0.000101631, 9.94854e-05, 9.5377e-05, 0.000173734, 0.00016722, 0.000135761, 0.000108845, 0.000119124, 9.77832e-05, 0.00237662, 0.000727409, 9.22959e-05, 0.0879309, 0.0946012, 0.128611
-34121.8,0.997721,0.386603,3,7,0,34137,0.00409519,0.977207,0.134278,-0.0657367,0.233365,0.122458,0.290852,0.179585,0.0277177,0.0502512,0.239884,0.120172,-0.0506742,0.0810515,0.0462231,0.00144876,0.151211,0.0757533,0.14255,0.131037,-0.0591561,-0.0720056,-0.0878391,-0.0501666,-0.0673463,-0.0263641,-0.0316771,-0.0235181,-0.0383552,0.132395,0.0842318,-0.0747268,0.0924824,0.0662164,0.0261877,-34448.2
-34120.5,1,0.386603,4,15,0,34133.1,0.00865158,0.977998,0.105634,-0.0422053,0.263635,0.124085,0.280107,0.156974,0.0257792,0.0208375,0.239429,0.131439,-0.0474551,0.124305,0.0860977,0.0143185,0.149392,0.0431098,0.126559,0.141063,-0.0409856,-0.0877768,-0.0800267,-0.0357339,-0.0616451,-0.0143023,-0.0554746,-0.0194825,-0.0505204,0.130959,0.0770142,-0.0364002,0.156267,0.08026,0.0365221,-34452.3
-34123.9,0.894757,0.386603,3,7,0,34138.5,0.0110027,0.978629,0.108449,-0.0344325,0.270405,0.131291,0.280899,0.15748,0.0320811,0.029408,0.234772,0.124325,-0.0379633,0.120344,0.0827815,0.0142466,0.149689,0.0445092,0.122392,0.145666,-0.0440093,-0.0884541,-0.0842677,-0.0381667,-0.0583838,-0.0146242,-0.0549654,-0.0191437,-0.0464608,0.128227,0.0760662,-0.032361,0.163089,0.0758888,0.0339532,-34450.1
-34125.3,0.991043,0.386603,3,7,0,34139.4,-0.00180416,0.977715,0.122355,-0.0703252,0.197927,0.11302,0.288622,0.180205,0.0220353,0.042482,0.24723,0.130504,-0.0636689,0.104018,0.0659389,0.00683894,0.150291,0.0681398,0.152666,0.122368,-0.0474815,-0.0465006,-0.0822701,-0.037694,-0.0622449,-0.0211942,-0.0298081,-0.0288335,-0.0444903,0.129975,0.0956102,-0.0539691,0.136927,0.0719683,0.0178729,-34432.8
-34123.3,0.974046,0.386603,4,15,0,34142.6,-0.00264761,0.97628,0.112845,-0.0350793,0.265352,0.131452,0.280596,0.170622,0.0207839,0.0296743,0.24021,0.123523,-0.0305966,0.0897282,0.0820107,0.00187328,0.153253,0.0590435,0.128401,0.151816,-0.0363154,-0.0873074,-0.0595571,-0.0547981,-0.0618934,-0.00983963,-0.0439794,-0.0264148,-0.0403973,0.127277,0.101243,-0.0571783,0.0848516,0.0746812,0.0224609,-34454.8
-34124.1,0.989302,0.386603,3,7,0,34135.6,-0.0023945,0.981059,0.116638,-0.0467809,0.263712,0.116665,0.282613,0.180954,0.0183509,0.0427157,0.244446,0.122682,-0.0393309,0.0830231,0.0884955,0.00542807,0.159304,0.061384,0.138614,0.150359,-0.0284686,-0.0859874,-0.0588731,-0.0610456,-0.0582303,-0.0122122,-0.0488735,-0.0280801,-0.0480239,0.121895,0.0969105,-0.0544667,0.0933603,0.0539746,0.0233935,-34458.9
