# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-04-21 04:53:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/sdc0wbjh.json
# init = 2 (Default)
# random
#   seed = 34049
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-asym_SBERT_j/hreg-20250420235307_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.46774
# Diagonal elements of inverse mass matrix:
# 2.43118e-05, 1.71424e-05, 0.000111476, 0.000110422, 0.000168046, 0.000129317, 0.000116276, 0.00014469, 0.000109328, 0.000162902, 0.000119259, 0.000147553, 0.116501
-35798.7,0.877076,0.46774,3,7,0,35806.6,0.0125103,0.995602,-0.0448309,-0.0607473,-0.111497,-0.0320784,-0.0961349,-0.0236462,-0.0430041,-0.0182754,-0.073313,-0.0540367,0.0302896,-33926.9
-35796.5,1,0.46774,3,7,0,35803.8,0.000487836,1.00458,-0.064002,-0.0604654,-0.109875,-0.0385086,-0.0898652,-0.042865,-0.0491967,-0.0133051,-0.0688165,-0.0567329,0.0287319,-33928.1
-35793.6,0.981415,0.46774,3,7,0,35800.5,0.00882808,0.996831,-0.0376066,-0.0687803,-0.0933849,-0.0571869,-0.083007,-0.0408632,-0.0472184,-0.0418983,-0.0582041,-0.0581146,0.0176094,-33923
-35796.3,0.705838,0.46774,3,7,0,35801.2,0.00116357,1.00512,-0.0689264,-0.0751617,-0.115535,-0.0486535,-0.113045,-0.0314452,-0.0447413,-0.0259108,-0.0526198,-0.0718174,0.0439726,-33939.9
-35795.1,0.989519,0.46774,3,7,0,35799.6,0.00780987,1.00047,-0.035182,-0.0625012,-0.089371,-0.0594147,-0.072457,-0.0362312,-0.0418372,-0.0344124,-0.055339,-0.0443689,0.0211549,-33915.5
-35792.9,0.887298,0.46774,3,7,0,35801.1,0.00258932,1.00182,-0.0493413,-0.0763563,-0.106857,-0.0448059,-0.0968704,-0.0308769,-0.0555331,-0.0114986,-0.0607882,-0.0623704,0.0326109,-33930.6
-35794.3,0.908895,0.46774,3,7,0,35797.6,0.00710709,0.997253,-0.0548643,-0.0637042,-0.110826,-0.063154,-0.0923322,-0.0331379,-0.0268745,-0.0391964,-0.0481323,-0.0524221,0.0414508,-33925.4
-35798.8,0.906604,0.46774,3,7,0,35802.9,0.0040748,1.00489,-0.0651462,-0.0685132,-0.108867,-0.079317,-0.0894012,-0.0403536,-0.05476,-0.021759,-0.07806,-0.0740563,0.0214444,-33935.5
-35798.1,0.890042,0.46774,3,7,0,35808.6,0.0001845,1.00046,-0.0480859,-0.0991718,-0.1036,-0.0637249,-0.111243,-0.0307973,-0.0371632,-0.0279567,-0.0718751,-0.063821,0.0335756,-33942.3
-35792.3,0.984964,0.46774,3,7,0,35801.5,0.00768795,0.999598,-0.0467424,-0.0848757,-0.111594,-0.0437744,-0.0996998,-0.0389866,-0.0394715,-0.0235656,-0.0543951,-0.0540983,0.0323856,-33931.7
-35792.9,0.887757,0.46774,3,7,0,35799,0.00633392,1.00198,-0.0535057,-0.0502485,-0.0956194,-0.0597898,-0.0852527,-0.0224468,-0.0406469,-0.0252455,-0.0497827,-0.0550326,0.0260915,-33918
-35793,0.760529,0.46774,3,7,0,35801.4,0.00514902,1.00334,-0.0568219,-0.0771464,-0.0999633,-0.0436545,-0.0920301,-0.0440124,-0.0543654,-0.0361694,-0.0535321,-0.0730062,0.0254608,-33930.9
-35793.9,0.716979,0.46774,3,7,0,35800.8,0.00633744,0.999779,-0.0525688,-0.0580685,-0.120774,-0.0754737,-0.0969183,-0.0268009,-0.0451027,-0.0346705,-0.0624422,-0.0614034,0.0270054,-33931.7
-35795.5,0.948803,0.46774,3,7,0,35798.7,0.00160262,0.998942,-0.0548412,-0.0507464,-0.102179,-0.061532,-0.0966618,-0.018579,-0.0508461,-0.0437191,-0.0658749,-0.0657522,0.0295678,-33928.7
-35795.3,0.94286,0.46774,3,7,0,35803.2,0.00998579,1.00232,-0.0507422,-0.0834296,-0.100954,-0.0507899,-0.0800302,-0.0535966,-0.0454035,-0.0301538,-0.0462536,-0.0719,0.0234314,-33926.3
-35801,0.704918,0.46774,3,7,0,35807.4,0.00739782,1.00153,-0.0545317,-0.0689385,-0.127292,-0.0683519,-0.0733774,-0.0462959,-0.0491064,-0.0639344,-0.0496144,-0.0548049,0.0229901,-33932.2
