# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-04-21 04:21:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/xbocsiiy.json
# init = 2 (Default)
# random
#   seed = 14170
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-den_BOW_j/hreg-20250420232122_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.547699
# Diagonal elements of inverse mass matrix:
# 2.35321e-05, 1.79337e-05, 0.00012048, 0.000113887, 0.000176616, 0.00014346, 0.000112782, 0.000148403, 0.000106582, 0.000154494, 0.000136753, 0.000441981, 0.0800342
-35557.4,0.876395,0.547699,3,7,0,35567.1,-0.00468206,0.998625,-0.0430362,-0.0419816,-0.0590469,-0.114347,0.0619298,0.00396764,0.00162582,-0.0594132,0.0160853,-0.0214059,0.0586885,-33781.7
-35550.3,1,0.547699,3,7,0,35560.4,-0.0110712,0.991903,-0.0292861,-0.0678042,-0.0548824,-0.14246,0.0200621,0.0167741,-0.0184153,-0.0743087,0.0062139,-0.0378263,0.0406747,-33795.4
-35551.5,0.928735,0.547699,2,3,0,35554.5,-0.0134112,0.99451,-0.0300199,-0.0721753,-0.049783,-0.133488,0.0145458,0.0147323,-0.00572292,-0.0822921,0.0131276,-0.0352204,0.0454065,-33790.8
-35550.8,0.897303,0.547699,3,7,0,35557.1,-0.0130467,0.994317,-0.0409154,-0.0526255,-0.0516924,-0.12918,0.055182,0.0199274,-0.034291,-0.0842061,0.0036573,-0.0429385,0.0538534,-33796.5
-35551,0.828346,0.547699,3,7,0,35556.2,-0.00926896,0.992064,-0.0473071,-0.0668549,-0.0613126,-0.133902,0.0132542,0.00652727,-0.0102161,-0.0563943,0.0208562,-0.0199094,0.0553129,-33789.9
-35551.2,1,0.547699,3,7,0,35556.2,-0.0119883,0.995163,-0.04185,-0.0468579,-0.049319,-0.12474,0.0489518,0.0113839,-0.0351598,-0.0801347,-0.000762994,-0.00944712,0.0543561,-33792.2
