# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-04-21 05:14:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/g56dhqni.json
# init = 2 (Default)
# random
#   seed = 46778
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-den_GPT2_j.h-nondens/hreg-20250421001418_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.439219
# Diagonal elements of inverse mass matrix:
# 2.25797e-05, 1.6436e-05, 0.000112291, 0.000114832, 0.000105891, 0.00010183, 0.000117183, 0.000125343, 0.000214509, 0.000157557, 0.000162103, 0.000121917, 0.000114586, 0.000130102, 0.000118656, 0.000103552, 9.64384e-05, 0.000126347, 0.000154507, 0.000145415, 9.68931e-05, 0.00010878, 0.000128481, 0.000175777, 0.000155228, 0.000145894, 0.000127866, 0.000132608, 0.000116753, 0.00198222, 0.00111654, 0.000419948, 0.0767053, 0.0857196, 0.0973365
-34220.3,0.845255,0.439219,3,7,0,34237,-0.00676883,0.973013,0.135804,-0.0353751,0.239692,0.139641,0.28381,0.133222,0.0307762,0.0546659,0.252963,0.157504,-0.0620733,0.101336,0.0724269,0.00976667,0.178626,0.0537425,0.138974,0.146774,0.0703272,0.0977765,0.0517366,0.0652375,0.0024369,0.0144846,0.0818929,-0.00102395,-0.0258983,0.236114,0.107834,0.0124019,0.106405,0.0707597,0.0369693,-34539.7
-34210.8,1,0.439219,3,7,0,34232.6,-0.00441259,0.976989,0.151772,-0.0384293,0.260259,0.135704,0.297295,0.126706,0.0209878,0.0605836,0.23891,0.156287,-0.0618467,0.096173,0.0687859,0.0107428,0.171924,0.0370302,0.140893,0.137123,0.0760533,0.112558,0.0715415,0.0703829,0.00902081,0.0235181,0.0889248,-0.0118718,-0.0288016,0.153743,0.0914384,0.0430407,0.113973,0.103316,0.0462443,-34538.8
-34217.8,0.722543,0.439219,3,7,0,34227.7,-0.00183817,0.97164,0.146367,-0.0287308,0.251988,0.134091,0.297998,0.124201,0.00672544,0.0909518,0.239343,0.16387,-0.0664231,0.0985194,0.0610249,0.0040051,0.160424,0.0269496,0.122983,0.137445,0.0812031,0.116569,0.0648955,0.0626537,0.00415317,0.025314,0.0855574,-0.0134081,-0.0286705,0.143053,0.105469,0.0350199,0.133011,0.0808966,0.0718062,-34537.7
-34229.5,0.879157,0.439219,3,7,0,34241,-0.00842286,0.979876,0.136885,-0.0365801,0.251019,0.121894,0.277749,0.136529,0.0477034,0.0564914,0.251594,0.152678,-0.0621831,0.11351,0.0837911,0.00880149,0.174931,0.0758736,0.172769,0.138587,0.0744286,0.12495,0.0317745,0.0681696,0.0154164,-0.0114957,0.0832833,-0.00504612,-0.0148642,0.13969,0.169848,0.0425354,0.0832203,0.165301,0.0377599,-34541.5
-34231.8,0.967958,0.439219,3,7,0,34256.6,0.00123213,0.971591,0.136747,-0.024161,0.25553,0.13339,0.284357,0.125763,0.0319752,0.0754832,0.218804,0.17599,-0.0699843,0.114419,0.0474108,0.00664671,0.159027,0.032598,0.145479,0.156334,0.0829584,0.114184,0.070331,0.0924476,-0.000162589,0.0351839,0.0941201,-0.00757357,-0.028604,0.138693,0.012388,0.0603423,0.0957356,0.0611811,0.090791,-34543
-34219.2,1,0.439219,3,7,0,34253.6,-0.00823471,0.976008,0.134004,-0.0626754,0.249566,0.132212,0.297367,0.118455,0.00708676,0.075967,0.235186,0.136872,-0.0598696,0.101746,0.0617151,0.00545473,0.163636,0.0501927,0.122513,0.135084,0.0845583,0.118746,0.0595467,0.063859,0.00599468,0.0142339,0.0739708,0.00773523,-0.025164,0.132134,0.187868,0.0728157,0.103847,0.123095,0.0455405,-34507.3
