# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-04-21 05:20:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/hfhzxeb7.json
# init = 2 (Default)
# random
#   seed = 83491
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-den_SBERT_j.h-nondens/hreg-20250421002019_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.44128
# Diagonal elements of inverse mass matrix:
# 2.07825e-05, 1.73554e-05, 0.00010854, 0.000130586, 0.000128954, 0.000121198, 0.000154602, 0.000127346, 0.000159977, 0.000171154, 0.0001758, 0.000126806, 0.000121368, 0.000128904, 0.000117706, 0.000127641, 0.000120358, 0.000120666, 0.000138197, 0.000138152, 9.53847e-05, 0.000123465, 0.000125969, 0.000170544, 0.000208669, 0.000194161, 0.000134246, 0.000135906, 0.00012894, 0.00259291, 0.000976058, 0.000297904, 0.0901726, 0.0861538, 0.0857437
-34170.2,0.994284,0.44128,3,7,0,34191.8,-0.00239396,0.976083,0.143247,-0.0548451,0.261603,0.126481,0.289597,0.175533,0.0110203,0.0315808,0.229154,0.124492,-0.0542179,0.0947695,0.0654345,0.00695668,0.154324,0.078318,0.133581,0.119862,0.00061753,0.0560929,0.0511896,-0.00567112,0.0385402,0.00338262,-0.0762918,-0.016292,-0.0267151,0.0951426,0.0390092,-0.0114721,0.170512,0.10503,0.060307,-34435.1
-34169,1,0.44128,3,7,0,34183.9,0.00980794,0.979348,0.10331,-0.0675603,0.243199,0.113656,0.300777,0.15839,0.0331467,0.0319804,0.266985,0.140771,-0.062198,0.0966963,0.0624826,-0.0186023,0.157516,0.0787269,0.150195,0.141073,-0.0344776,0.0497374,0.066887,0.0143076,0.00783052,-0.00379483,-0.0813627,-0.0156872,0.000723064,0.178967,0.10254,0.00868594,0.106228,0.0633959,0.0328047,-34469.8
-34167.5,1,0.44128,3,7,0,34181.7,0.00739045,0.979554,0.104553,-0.0679906,0.239515,0.11462,0.295806,0.154507,0.0327884,0.0304271,0.252534,0.133514,-0.0651287,0.0932265,0.0639058,-0.0122354,0.157874,0.0778297,0.14027,0.141856,-0.0366888,0.0426679,0.0635423,0.019171,0.0124082,-0.00226728,-0.0877354,-0.0214629,0.00729318,0.180346,0.0981895,0.00934033,0.107896,0.0647844,0.0326884,-34446.4
-34167.5,0.702228,0.44128,3,7,0,34187.2,0.00630302,0.977212,0.110784,-0.0659114,0.242165,0.115087,0.290291,0.154556,0.0368604,0.0305643,0.253992,0.138763,-0.0549517,0.0932792,0.0589713,-0.00756527,0.150691,0.0798165,0.141135,0.149784,-0.0401364,0.0383734,0.06079,0.0230157,0.013542,-0.00630667,-0.070417,-0.0129052,0.00697396,0.204664,0.0759683,-0.003097,0.113215,0.0730223,0.0387144,-34448.9
-34169.5,0.71206,0.44128,3,7,0,34187.7,0.000607742,0.978849,0.125006,-0.0456888,0.251038,0.134311,0.297926,0.180025,0.029949,0.0278386,0.24547,0.136491,-0.0555386,0.103854,0.0869228,-0.00439704,0.157016,0.0641053,0.155002,0.112935,-0.0105303,0.0486538,0.0527321,-0.00915592,0.0349976,0.00115424,-0.0878049,-0.0144299,-0.0382894,0.00203974,0.125938,-0.00681019,0.181285,0.103571,0.0476082,-34456.8
-34174.4,0.809701,0.44128,3,7,0,34193.3,0.00706333,0.977702,0.118873,-0.0584351,0.22872,0.124052,0.302088,0.187306,0.0317105,0.0353165,0.259324,0.143684,-0.0559392,0.109312,0.0900966,-0.027042,0.156671,0.0816654,0.119959,0.158889,-0.0401129,0.0653967,0.0421207,-0.00763019,0.0144915,0.00291883,-0.0889985,-0.0116706,-0.0238858,0.102131,0.14883,-0.0227189,0.212423,0.109319,0.0518163,-34479.5
