# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-04-21 04:30:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/a4c3s7ds.json
# init = 2 (Default)
# random
#   seed = 33220
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-den_SBERT_j/hreg-20250420233020_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.524663
# Diagonal elements of inverse mass matrix:
# 2.47304e-05, 1.71004e-05, 0.000123375, 0.000127052, 0.00018258, 0.000113324, 9.68031e-05, 0.000123339, 0.000123319, 0.000188672, 0.00014383, 0.000425471, 0.0746739
-35849.3,0.835933,0.524663,3,7,0,35853.6,0.00586702,1.005,0.0225125,0.0404466,0.0908418,0.00658801,0.0595128,0.0152558,-0.0631857,0.0081744,0.0551937,0.0392269,0.0550233,-33914.9
-35849.5,0.955032,0.524663,3,7,0,35853.6,0.00799206,1.00366,0.0190164,0.045448,0.085652,0.00335987,0.0693499,0.0246806,-0.0639154,-0.00083375,0.0505263,0.0113088,0.0722017,-33915.4
-35847.8,0.953021,0.524663,3,7,0,35854.8,0.00298722,1.00305,-0.00524339,0.0289325,0.130313,0.0163981,0.0748769,0.0175256,-0.0647683,-0.00992219,0.0515674,0.0345962,0.0400567,-33929.8
-35853.3,0.617858,0.524663,3,7,0,35858,0.00657198,1.0056,0.0182356,0.040737,0.104255,0.00243601,0.0720488,0.0259731,-0.0687952,0.00445134,0.054508,0.0770852,0.166972,-33922.3
-35848,0.983992,0.524663,3,7,0,35857,0.00550638,0.998713,-0.0106385,0.0281973,0.126473,0.0233017,0.0735517,0.0240009,-0.0644742,-0.0163149,0.0483903,0.0234623,0.056043,-33929.5
-35849.5,0.832628,0.524663,3,7,0,35853.8,0.0113137,0.997398,-0.00648747,0.0315219,0.126222,0.0243267,0.0710197,0.0233237,-0.0620465,-0.0130207,0.0534488,0.0248727,0.0738692,-33928.9
-35847.8,1,0.524663,3,7,0,35851.1,-0.00046666,1.00128,0.01502,0.0395732,0.101105,-0.00390731,0.0741475,0.0198755,-0.0679068,0.0120331,0.0496203,0.0336599,0.0431852,-33920.9
-35848.6,0.744925,0.524663,3,7,0,35856,0.0123989,1.00292,-0.0113831,0.0277492,0.103133,0.00761832,0.0796159,0.0235595,-0.0554884,0.0102727,0.0511893,0.0160232,0.0483134,-33921.9
-35852.6,0.929473,0.524663,3,7,0,35854.9,-5.94083e-05,1.00021,0.0249197,0.0379887,0.123374,-0.00634646,0.0640931,0.00556572,-0.0828577,-0.0185824,0.0401865,0.0144406,0.0634171,-33927.4
-35847.2,0.990645,0.524663,3,7,0,35856.2,0.00602482,1.0015,-0.000136082,0.0496839,0.104433,0.0180197,0.067992,0.023289,-0.0635951,0.0152584,0.0371978,0.0328408,0.0474425,-33921.8
-35850.6,0.75116,0.524663,3,7,0,35854.3,0.00739704,0.998445,0.0269495,0.0316256,0.113746,0.00882095,0.0667552,0.0466665,-0.0617091,-0.018336,0.0503501,0.0300754,0.0401962,-33923.1
-35853.5,0.770597,0.524663,3,7,0,35862.1,0.0067302,0.998734,0.0324296,0.0322184,0.107205,-0.00284092,0.074689,0.0540768,-0.0674908,0.00451616,0.0545137,0.0251475,0.0391694,-33924.8
-35849.6,0.810899,0.524663,2,3,0,35858.8,0.00765001,1.0039,0.0265647,0.0332006,0.109011,0.000598844,0.0759545,0.0421708,-0.0642697,0.000275467,0.0467571,0.00921474,0.0453137,-33923.1
-35852.2,0.876923,0.524663,3,7,0,35857.6,0.00436345,0.997943,-0.0146485,0.0430578,0.113452,0.00881868,0.0694128,-0.00682548,-0.0630357,-0.0104387,0.0531851,0.0116563,0.0945184,-33924.1
-35849.1,0.978647,0.524663,3,7,0,35856.6,0.0118788,0.997955,0.015823,0.0331099,0.112717,0.0149968,0.0671836,0.04174,-0.0606394,-0.00362779,0.0467579,0.0255122,0.0369041,-33922.4
-35849.8,0.716233,0.524663,3,7,0,35862.2,0.000747566,1.00509,0.00313229,0.0355115,0.111435,0.004055,0.0780653,-0.000563824,-0.0658255,0.000945668,0.0529068,0.0285693,0.0912527,-33924.4
-35850,0.732738,0.524663,3,7,0,35859.6,0.00841828,1.00285,0.0116279,0.0358695,0.122606,0.0060108,0.0802441,0.00165728,-0.0555331,-0.00306809,0.0599433,0.0136031,0.108592,-33925.8
-35851.3,0.811002,0.524663,3,7,0,35860.5,0.00471524,1.00002,0.0144191,0.0344482,0.107475,0.0169066,0.0492735,0.0164193,-0.0645441,0.00216017,0.068347,0.0375878,0.0307146,-33919.1
-35849.1,0.944701,0.524663,3,7,0,35856.8,0.00556741,1.00267,0.0180754,0.0424334,0.114225,-0.000362773,0.0765962,0.0232916,-0.0780928,0.0111711,0.0421961,0.041894,0.0928673,-33927.2
-35852.3,0.780648,0.524663,3,7,0,35855.9,0.0106535,0.995577,0.017074,0.02109,0.10885,0.0078412,0.0686956,0.0163896,-0.0680499,0.00364206,0.0324739,0.0423149,0.0874161,-33919.9
-35853.5,0.924828,0.524663,3,7,0,35861.5,0.00497329,0.997969,0.0165644,0.0242213,0.111114,0.010311,0.067512,0.0211873,-0.0683316,0.00254438,0.024529,0.0573848,0.128916,-33920.1
-35852.7,0.947033,0.524663,3,7,0,35860.6,0.00482103,1.00486,-0.000578222,0.0360649,0.131185,0.0137398,0.0696893,0.0173537,-0.0866315,0.00386151,0.0765127,0.0497159,0.0493854,-33937.7
-35847.5,0.993289,0.524663,3,7,0,35856,0.0083445,0.998568,0.0130995,0.0142143,0.116629,0.0139494,0.0708423,0.0194543,-0.0714362,-0.00576148,0.0558192,0.0278062,0.0624608,-33924.8
-35850.3,0.838388,0.524663,3,7,0,35855.3,0.00538438,1.00349,0.0217341,0.0289994,0.12256,-0.00902467,0.0673477,0.0168895,-0.0523394,-0.0182507,0.0466694,0.0169114,0.0364287,-33920.6
-35851,0.871875,0.524663,3,7,0,35858.6,0.00855205,1.00234,-0.0109693,0.0348846,0.104403,0.0289258,0.0641449,0.0242369,-0.0798191,0.0136562,0.05177,0.0237904,0.0838684,-33926.7
-35854.3,0.881164,0.524663,3,7,0,35860.8,0.00114156,1.00246,0.00911095,0.0174136,0.0874785,0.0254686,0.0832789,0.0270105,-0.0683784,0.00405699,0.0311742,0.0673301,0.064132,-33919.8
-35853.7,0.992337,0.524663,3,7,0,35862.3,0.0105896,1.00016,-0.00270808,0.053864,0.135063,-0.00355006,0.071631,0.0101779,-0.0527675,-0.00234811,0.071858,-0.00218157,0.053707,-33930.9
-35851.8,0.965957,0.524663,3,7,0,35861,0.000188413,1.00569,0.000521406,0.0487604,0.120236,0.00540997,0.0731339,-0.00635342,-0.0695186,-0.00552071,0.0364971,0.0375605,0.0562023,-33927.2
-35853.3,0.907577,0.524663,3,7,0,35858.9,0.0121114,1.00497,0.0158053,0.01928,0.107579,0.00771676,0.0739702,0.0523797,-0.0555975,0.00788552,0.066131,0.0288376,0.0585001,-33924.3
-35845.1,1,0.524663,2,3,0,35854.4,0.00724091,1.00065,0.00958734,0.0271881,0.101763,0.0168296,0.0753919,0.0252985,-0.063038,-0.00518868,0.0551165,0.0259567,0.0441515,-33920.6
-35845.2,0.863316,0.524663,3,7,0,35848.8,0.00590377,1.00126,-0.00360357,0.0337775,0.123053,0.00553676,0.0680087,0.0222304,-0.0683587,-0.00803784,0.0513681,0.0304419,0.0578678,-33926.1
-35846.3,0.772903,0.524663,3,7,0,35852.4,0.00383132,1.00269,0.00631431,0.0446739,0.0937634,0.00738941,0.0694971,0.0133188,-0.0632536,-0.00202382,0.0408712,0.0311302,0.0495876,-33916.4
-35847.4,0.850095,0.524663,3,7,0,35851.1,0.00448011,1.00134,0.00462193,0.0485905,0.125986,-0.00464022,0.0789137,0.0124573,-0.0702321,-0.00406072,0.0553577,0.0392124,0.0508182,-33930.1
-35847.7,0.819111,0.524663,3,7,0,35853,0.00748549,1.00046,0.00911549,0.0307215,0.113274,0.0114434,0.0812843,0.0114149,-0.0646361,-0.00259775,0.0597585,0.00617412,0.0976138,-33925.2
-35847.9,0.828382,0.524663,3,7,0,35852.9,0.00693561,1.00269,0.0197161,0.0390326,0.116954,0.0146254,0.0804656,0.0138827,-0.0658451,-0.00475648,0.0467046,0.00879156,0.0930336,-33925.9
-35848.7,0.946937,0.524663,3,7,0,35851.7,0.00451501,0.99987,0.000772575,0.0232707,0.103044,-0.000795624,0.0585879,0.0154965,-0.0617929,0.00540518,0.0468073,0.042556,0.0364207,-33915.3
-35849.6,0.931672,0.524663,3,7,0,35855.6,0.00746949,1.00357,0.00488463,0.0275236,0.109622,0.0287955,0.0835477,0.0140731,-0.0613305,0.0109147,0.0394803,-0.0030592,0.0662751,-33925.1
-35850.7,0.838844,0.524663,3,7,0,35857.6,0.0120116,1.00452,0.00711878,0.0447282,0.115718,-0.00754678,0.0636706,0.0297599,-0.0653846,-0.0106372,0.0639505,0.057198,0.0661499,-33924.6
-35858.4,0.758962,0.524663,3,7,0,35864,0.00310506,0.998088,0.0149928,0.0127929,0.107132,0.0345147,0.0793607,-0.00137411,-0.097302,-0.0138044,0.0574097,0.00835729,0.0688473,-33933.6
-35860.3,0.976457,0.524663,3,7,0,35863.2,0.00817243,1.00454,0.00212182,0.0568531,0.116441,-0.0163023,0.0605715,0.0371628,-0.0265635,0.0165607,0.0424868,0.0508423,0.0373134,-33918.7
-35848.8,0.830351,0.524663,2,7,0,35865,0.00470105,0.999348,0.0215473,0.0426309,0.119705,0.00492038,0.0646962,0.0219952,-0.0679792,-0.00322482,0.0443336,-0.0176341,0.0721583,-33923.4
-35848.6,0.877495,0.524663,3,7,0,35853.9,0.00451864,1.00438,-0.0108986,0.023536,0.105788,0.0045189,0.0845534,0.0229299,-0.0654906,-3.15135e-05,0.0543105,0.0487186,0.0540702,-33925.1
-35852.1,0.82958,0.524663,3,7,0,35856.2,0.00742562,1.00045,0.0198893,0.0261864,0.105899,0.0131627,0.0852212,0.000449334,-0.0468283,-0.0211024,0.0559205,0.023317,0.0840599,-33920.5
