# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2024-09-28 21:04:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/_uyyor3f.json
# init = 2 (Default)
# random
#   seed = 67521
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/h-nondens/hreg-20240928160443_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.478535
# Diagonal elements of inverse mass matrix:
# 3.38307e-05, 2.22493e-05, 0.000210135, 0.000186968, 0.000225607, 0.000195812, 0.000390797, 0.00028588, 0.000171155, 0.000222743, 0.000218852, 0.000161517, 0.000239811, 0.000195411, 0.000382323, 0.000236244, 0.000337147, 0.000379558, 0.000342057, 0.000290005, 0.00232134, 0.000878887, 0.0839164, 0.0815339
-18907.7,0.944279,0.478535,3,7,0,18925.5,-0.00417589,0.974692,0.16906,-0.0482759,0.274965,0.102415,0.334729,0.187949,0.0360915,0.104287,0.281023,0.154875,-0.0408042,0.0921172,0.104645,0.0173463,0.133755,0.113843,0.138147,0.183549,0.188251,0.0692954,0.119169,0.10583,-55822.1
-18905.5,1,0.478535,3,7,0,18915.5,-0.00266215,0.967017,0.174225,-0.0371113,0.267529,0.0967342,0.325632,0.166619,0.027301,0.0994661,0.260311,0.169471,-0.0532337,0.0765376,0.0996886,0.00540789,0.128594,0.106049,0.135151,0.161116,0.136322,0.0828069,0.125704,0.124343,-55819.9
-18903.7,0.883687,0.478535,3,7,0,18919.2,-0.0124138,0.974072,0.222386,-0.0446736,0.288401,0.10285,0.282179,0.190673,0.0364948,0.091343,0.25171,0.125298,-0.00929474,0.0988306,0.0825149,0.0180323,0.169915,0.125617,0.122734,0.132813,0.141221,0.109535,0.129028,0.059827,-55821.5
-18907.6,0.833133,0.478535,3,7,0,18916,0.00298108,0.971111,0.183096,-0.0508965,0.281211,0.0985603,0.309201,0.162972,0.0174398,0.0612806,0.25154,0.150249,-0.0454505,0.101942,0.079571,0.0319838,0.142215,0.115718,0.182061,0.18555,0.126427,0.098709,0.152661,0.0718653,-55822.8
-18906.2,0.968269,0.478535,3,7,0,18918.6,-0.00826061,0.967846,0.210964,-0.0383028,0.288913,0.0986246,0.299288,0.197083,0.038704,0.109598,0.253891,0.156054,-0.0256924,0.0736089,0.101494,-0.00169479,0.152225,0.116249,0.0753461,0.120548,0.176706,0.0982233,0.0938064,0.067703,-55822.9
-18904.9,0.861318,0.478535,3,7,0,18920.5,-0.0067152,0.969451,0.212406,-0.0492946,0.269295,0.0975064,0.312788,0.198503,0.0381936,0.0996125,0.267138,0.149939,-0.0222876,0.0742904,0.0875253,-0.00840489,0.160296,0.130357,0.0844539,0.133953,0.200842,0.0786332,0.0982237,0.0633416,-55820.5
-18913.3,0.641493,0.478535,3,7,0,18928.2,0.00123225,0.97826,0.192346,-0.0308529,0.261473,0.0850491,0.321813,0.14788,0.0457207,0.123155,0.265632,0.132945,-0.0400484,0.081452,0.0754421,0.018465,0.126842,0.104808,0.149326,0.122735,0.108979,0.0379698,0.132424,0.098907,-55827.9
-18916.1,0.969851,0.478535,3,7,0,18929.5,-0.0149406,0.966622,0.210957,-0.0588926,0.288973,0.109131,0.285906,0.231927,0.000190202,0.0699481,0.29009,0.150776,-0.0150565,0.118012,0.0980079,0.000615662,0.150245,0.13055,0.118813,0.146575,0.222252,0.124627,0.171241,0.041981,-55828.1
-18902.2,0.799298,0.478535,3,7,0,18926.1,-0.00370914,0.970034,0.212791,-0.0448441,0.292826,0.0860253,0.288536,0.188654,0.031457,0.0865656,0.271973,0.163012,-0.0245091,0.0769168,0.114544,0.026449,0.138199,0.127243,0.107479,0.155932,0.150052,0.094228,0.140945,0.0965441,-55818
-18902.6,0.99281,0.478535,3,7,0,18909.6,-0.0116205,0.971228,0.207813,-0.0573034,0.300018,0.100919,0.282339,0.186869,0.0347129,0.103149,0.261146,0.136961,-0.0279293,0.0588437,0.0726019,0.0204115,0.14638,0.126281,0.117289,0.146677,0.084249,0.0968928,0.226004,0.0658028,-55817.1
-18909.4,0.715987,0.478535,3,7,0,18917.6,-0.00732158,0.976383,0.194388,-0.0636112,0.260431,0.103987,0.31938,0.165516,-0.0135965,0.106838,0.256693,0.150599,-0.0327025,0.102662,0.0613073,0.0110487,0.16628,0.142039,0.136918,0.126084,0.0811699,0.074071,0.15309,0.112978,-55822.8
-18907.5,1,0.478535,3,7,0,18919.2,-0.0101954,0.969407,0.174428,-0.0356728,0.266132,0.104277,0.319465,0.177431,0.040297,0.0638939,0.275799,0.151751,-0.0420926,0.0770787,0.121087,-0.0158796,0.139257,0.107572,0.132489,0.161075,0.111096,0.12441,0.157069,0.0639913,-55821.4
-18909.9,0.597388,0.478535,3,7,0,18926.2,-0.00426171,0.977614,0.226608,-0.0218014,0.29404,0.0778074,0.289328,0.191539,-0.0054822,0.0867631,0.218972,0.141855,-0.0359465,0.115796,0.091407,0.0227393,0.139567,0.105754,0.135004,0.131306,0.224653,0.0851604,0.177248,0.0641749,-55825.6
-18908.5,0.921526,0.478535,3,7,0,18923,-0.00960864,0.96695,0.172303,-0.0482752,0.296347,0.112962,0.292303,0.180705,0.0689374,0.0781668,0.277651,0.159366,-0.0367893,0.0718731,0.0930393,0.0158767,0.166619,0.132213,0.148662,0.192856,0.131728,0.127021,0.105316,0.0855226,-55823.6
-18908.9,0.956211,0.478535,3,7,0,18920.3,-0.00531131,0.974954,0.153284,-0.0573028,0.295375,0.0907751,0.292457,0.161324,0.0710279,0.0893197,0.247756,0.160529,-0.0262585,0.0862082,0.092599,0.0170355,0.155486,0.13619,0.146391,0.17049,0.225793,0.0977718,0.0894759,0.0845651,-55821.5
-18908.1,1,0.478535,3,7,0,18919.8,-0.00648325,0.970516,0.213443,-0.0459715,0.281804,0.0782748,0.314291,0.181661,0.0425291,0.110814,0.270581,0.137587,-0.0451026,0.0692861,0.107296,0.0177493,0.145456,0.0737585,0.115001,0.13861,0.0898184,0.0930591,0.226765,0.0572577,-55822.4
-18906.3,0.928551,0.478535,3,7,0,18922.5,-0.00975021,0.97383,0.187206,-0.0293045,0.288833,0.113259,0.286578,0.190776,0.0357502,0.0782953,0.241908,0.159516,-0.0261704,0.104286,0.0766375,-0.000143612,0.141471,0.159201,0.161529,0.174804,0.185548,0.0840535,0.140663,0.0911687,-55821.6
-18909.2,0.958408,0.478535,3,7,0,18920,-0.00753361,0.970604,0.212189,-0.0568926,0.299154,0.0749898,0.297546,0.197555,0.0332617,0.117722,0.250672,0.139122,-0.0336127,0.0782591,0.110112,0.0437509,0.134712,0.0732362,0.124537,0.151947,0.171771,0.116645,0.121967,0.053661,-55825.6
-18907,0.988764,0.478535,3,7,0,18923.1,-0.0108627,0.973726,0.174158,-0.0345659,0.265874,0.10996,0.277786,0.144983,0.0480894,0.0699942,0.255401,0.158585,-0.0366122,0.0890294,0.0817979,0.00167173,0.138509,0.149573,0.145265,0.152696,0.123999,0.0616482,0.101535,0.0829161,-55822.8
-18909.3,0.970609,0.478535,3,7,0,18920.2,-0.00463922,0.970851,0.202812,-0.0285502,0.291247,0.0695251,0.312601,0.221568,0.039091,0.118026,0.248015,0.152293,-0.0446692,0.0806245,0.110981,0.0218348,0.132837,0.0755803,0.114977,0.156859,0.182838,0.105988,0.124589,0.0693005,-55825.9
-18909.2,0.956049,0.478535,3,7,0,18921.6,-0.00971531,0.972022,0.186525,-0.0383922,0.315192,0.115457,0.312695,0.158574,0.0476475,0.101825,0.273491,0.138225,-0.0141982,0.0818295,0.0768356,-0.0023721,0.143541,0.163765,0.132557,0.146028,0.209762,0.0926072,0.180649,0.0555841,-55824.4
-18905.8,0.997454,0.478535,3,7,0,18920.3,-0.00643012,0.971718,0.210178,-0.0332237,0.287733,0.083816,0.322961,0.173693,-0.0189407,0.104474,0.264981,0.124432,-0.0438047,0.0855672,0.115168,0.00111131,0.154128,0.126749,0.109647,0.155116,0.129093,0.0938541,0.109068,0.0905961,-55820.7
-18902.2,0.998334,0.478535,3,7,0,18911.6,-0.00497576,0.971239,0.195261,-0.0411788,0.290686,0.108897,0.271653,0.172369,0.0357178,0.0868464,0.235923,0.172275,-0.0237782,0.0782866,0.0685508,0.0176889,0.145973,0.0995462,0.136596,0.149197,0.167184,0.104564,0.133007,0.0651264,-55819.3
