# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-03-23 18:56:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/eyon7uqy.json
# init = 2 (Default)
# random
#   seed = 72053
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-nondens/hreg-20250323135616_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.429688
# Diagonal elements of inverse mass matrix:
# 3.00997e-05, 2.08879e-05, 0.000274754, 0.000160144, 0.000275648, 0.000187016, 0.000481771, 0.000403417, 0.000189896, 0.00021913, 0.000229145, 0.000181144, 0.000216045, 0.000197305, 0.0003694, 0.000209336, 0.000358289, 0.000346307, 0.000330178, 0.000259951, 0.00226609, 0.000859213, 0.0816203, 0.0675094
-19039,0.827667,0.429688,3,7,0,19050.1,-0.0133296,0.979066,0.219862,0.00772409,0.267278,0.100213,0.302664,0.207163,0.0813066,0.0772709,0.246723,0.160547,-0.0342758,0.0738164,0.065174,-0.00692685,0.0977793,0.117359,0.110955,0.177164,0.180278,0.0582706,0.103447,0.0690964,-19093.4
-19038.1,0.985408,0.429688,3,15,0,19050.8,-0.0132031,0.968143,0.212077,-0.0170583,0.249178,0.118045,0.28464,0.187023,0.0860972,0.0969185,0.261351,0.140314,-0.0229114,0.0818389,0.0513922,0.0119881,0.140652,0.107499,0.110295,0.153626,0.196631,0.0850055,0.114625,0.0560115,-19091.6
-19040,0.879489,0.429688,3,7,0,19051.5,-0.0113707,0.969003,0.203897,-0.0275484,0.242397,0.116137,0.298635,0.177131,0.0831252,0.09729,0.24301,0.156858,-0.0224135,0.0765162,0.069061,0.0162594,0.113437,0.114437,0.12446,0.12513,0.143135,0.0744987,0.175738,0.0446791,-19077.4
-19043.5,0.915955,0.429688,3,7,0,19055.1,-0.00163943,0.979988,0.222351,-0.0267811,0.294427,0.0991596,0.318455,0.230053,0.0427712,0.0409304,0.230507,0.156545,-0.0303229,0.0691816,0.0476492,-0.0179739,0.172465,0.0817589,0.178324,0.172959,0.146035,0.0988865,0.0971412,0.0984316,-19116.7
-19040.2,1,0.429688,3,7,0,19056.3,-0.00723173,0.975831,0.214002,-0.000544284,0.227316,0.118575,0.2907,0.182479,0.0726685,0.0681336,0.236145,0.156704,-0.0288934,0.100496,0.0658025,0.0121607,0.18361,0.134249,0.137207,0.150862,0.185346,0.070247,0.145463,0.0796515,-19096.4
-19037.8,0.989337,0.429688,3,7,0,19050.6,-0.00655073,0.974049,0.205145,-0.0265589,0.265365,0.106939,0.283006,0.199125,0.0303478,0.077448,0.245536,0.170221,-0.0214837,0.0742559,0.0586965,0.0277479,0.124183,0.126594,0.158654,0.161474,0.0787527,0.141992,0.117261,0.0993576,-19092.9
