# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_hreg_model
# start_datetime = 2025-03-23 20:43:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/tv311lc7.json
# init = 2 (Default)
# random
#   seed = 72236
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens.h-nondens/h2reg-hreg-20250323154325_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg-hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,mu_inner_beta,sigma_inner_beta,betad.1.1,betad.2.1,betad.3.1,betad.4.1,betad.5.1,betad.6.1,betad.7.1,betad.8.1,betad.9.1,betad.1.2,betad.2.2,betad.3.2,betad.4.2,betad.5.2,betad.6.2,betad.7.2,betad.8.2,betad.9.2,mu_betad.1,mu_betad.2,sigma_betad.1,sigma_betad.2,log_p,rmse
# Adaptation terminated
# Step size = 0.27095
# Diagonal elements of inverse mass matrix:
# 1.19366e-05, 1.13007e-05, 0.000117935, 0.000122483, 0.00012618, 0.00012983, 0.000105553, 0.000114989, 9.95591e-05, 0.00010793, 0.0001273, 0.000130278, 0.000188925, 0.00016025, 0.000169098, 0.000171604, 0.000169899, 0.000124076, 0.000114281, 0.000152402, 0.000132888, 0.000149585, 0.000103395, 8.10213e-05, 0.000126763, 9.04205e-05, 0.000117556, 0.000140216, 0.000119817, 0.000145971, 0.000121737, 0.000141471, 0.000123053, 0.000107777, 0.000110272, 0.000115072, 0.000109193, 0.000153452, 0.000137276, 0.000168856, 0.000180585, 0.000162369, 0.000116322, 0.000121292, 0.000135589, 0.000120549, 0.000115129, 0.000446702, 0.000355705, 0.000282115, 0.00062704, 0.000237117, 0.0946411, 0.0806278, 0.0839312, 0.0920801, 0.0845805, 0.0012872, 0.379434, 3.76163e-05, 2.94852e-05, 3.12888e-05, 3.84305e-05, 4.44044e-05, 4.45319e-05, 2.74517e-05, 3.3879e-05, 3.26728e-05, 3.37381e-05, 3.55135e-05, 3.97912e-05, 3.6401e-05, 3.49658e-05, 4.25643e-05, 4.5372e-05, 3.98037e-05, 4.0609e-05, 0.00187547, 0.000751454, 0.0734054, 0.06561
-169566,0.505452,0.27095,4,15,0,169604,-0.00740801,0.974065,-0.0709074,-0.0650632,-0.099137,-0.132271,0.0050971,-0.0063582,-0.0265201,-0.104326,0.0132632,0.0983173,0.115149,0.0624245,0.0763448,-0.00765846,-0.00706817,0.0749457,-0.0197103,-0.00894664,-0.0112712,0.0492926,0.0487765,-0.0041007,0.0339452,0.0164433,-0.0903848,-0.0185601,-0.0222192,0.0665503,0.057474,0.0159206,0.00805876,0.0369392,0.0209437,0.186934,-0.0109152,0.043924,-0.030842,-0.012192,0.0227232,0.0193385,-0.00967651,-0.00690063,0.00174473,-0.102934,0.000937224,-0.0888848,0.0186515,-0.00448455,0.0512414,-0.01542,0.0608791,0.0875545,0.0546645,0.0695752,0.0513206,-0.0404338,0.123044,0.20977,-0.0432519,0.252043,0.108602,0.282221,0.140997,0.0441619,0.0429038,0.233652,0.157924,-0.0392523,0.0838746,0.0670386,0.0020117,0.156731,0.0853937,0.161815,0.170939,0.137297,0.133277,0.0891302,0.067192,-171130,1.01771
-169561,0.943275,0.27095,4,15,0,169611,-0.00395887,0.974532,-0.0662564,-0.0517985,-0.0980618,-0.114049,0.000609254,-0.0138086,-0.044639,-0.0846004,-0.000632332,0.104735,0.108676,0.0476746,0.0887887,0.0179605,0.00468305,0.0697256,0.00443321,-0.0209472,-0.00418917,0.0645981,0.0366986,0.00126713,0.0297761,0.00321359,-0.0887058,-0.0214948,-0.00591516,0.0668022,0.0647364,-0.021549,0.0280171,0.0437785,-0.00151392,0.161067,-0.0490882,0.065513,-0.0330019,-0.0179789,0.0347322,0.0216777,-0.00584118,-0.016262,0.00795871,-0.116969,0.00817896,-0.0282846,0.0520997,0.0314313,0.0273174,-0.028333,0.0862058,0.0439902,0.0799108,0.0824605,0.0420027,0.00902139,0.0339701,0.204096,-0.0560605,0.259021,0.116289,0.284095,0.137966,0.0504388,0.0579734,0.221306,0.163268,-0.0484734,0.0781238,0.0759138,0.0104434,0.173452,0.0779336,0.161292,0.150444,0.156967,0.0784412,0.149216,0.0919523,-171090,1.01744
-169562,0.733657,0.27095,4,15,0,169613,-0.00584111,0.973168,-0.0536016,-0.0364935,-0.0917849,-0.137956,0.00240129,-0.0159384,-0.0395274,-0.0903596,0.0131709,0.0934056,0.10707,0.0677878,0.0396451,-0.00403399,-0.0113915,0.0964803,-0.0180885,-0.0124505,-0.0283677,0.0432129,0.0772867,-5.72927e-05,0.0223115,0.0227811,-0.062933,0.013252,-0.0316374,0.03934,0.0761659,0.0270981,0.0248081,0.0316334,0.00666763,0.181367,-0.015172,0.043081,-0.0346491,-0.0102272,0.00707453,0.00593677,-0.0204696,0.0150019,-0.00756851,-0.0956698,0.00697374,-0.0569182,0.0328579,0.0340482,0.0600934,0.0120896,0.040595,0.0619647,0.0554971,0.0489111,0.0353295,-0.0124886,0.0426973,0.207227,-0.0474218,0.256027,0.115386,0.289086,0.140725,0.0434495,0.0420965,0.23565,0.153286,-0.0449901,0.0780551,0.0613731,0.00461935,0.159745,0.0853853,0.154394,0.164318,0.106281,0.110336,0.109067,0.0678828,-171121,1.01757
-169570,0.867298,0.27095,4,15,0,169608,-0.00478606,0.974573,-0.0689488,-0.0566653,-0.100097,-0.109042,-0.00205924,-0.00507242,-0.0493024,-0.0811537,4.32905e-05,0.107219,0.113255,0.0431927,0.0961104,0.0245303,0.0119636,0.0703902,0.0159747,-0.0176262,0.00131515,0.0572906,0.0386807,-0.00144646,0.0274895,-0.00163431,-0.0904485,-0.020852,0.000620562,0.0710762,0.0626981,-0.0146237,0.0349151,0.0478703,-0.00114357,0.158617,-0.0418919,0.0737907,-0.0283105,-0.0140106,0.0426617,0.0245991,-0.00599546,-0.0149851,0.00345993,-0.123169,0.0225947,-0.032093,0.0664717,-0.0325359,0.0422259,-0.0249798,0.0699194,0.0439524,0.0598435,0.0918914,0.0510335,0.0639467,0.0656581,0.207296,-0.0528905,0.256203,0.117333,0.281063,0.136522,0.0526249,0.056829,0.223044,0.161091,-0.0390404,0.0783316,0.0758712,0.00229777,0.172318,0.0792009,0.155399,0.152909,0.142838,0.0727985,0.167507,0.0888256,-171061,1.01722
-169569,0.998769,0.27095,4,15,0,169611,-0.00480897,0.973876,-0.0553896,-0.0384702,-0.0869485,-0.14521,-0.00445755,-0.0178957,-0.0323824,-0.0911971,0.00274558,0.0972145,0.102121,0.068004,0.0416458,-0.012855,-0.0183194,0.0976083,-0.0291516,-0.019821,-0.0300956,0.0370396,0.0753116,7.38918e-05,0.017132,0.0210805,-0.0544864,0.0149999,-0.0222056,0.0396613,0.0815265,0.0258318,0.023164,0.0257775,0.000706107,0.189992,-0.0165582,0.0433014,-0.0406551,-0.0189924,0.00616535,0.0188241,-0.0194087,0.0106084,-0.00813234,-0.103235,-0.00359682,-0.0539828,0.0162407,-0.000887836,0.0473255,-0.00918597,0.033905,0.0590356,0.039343,0.0503779,0.0382501,-0.0198831,0.0380239,0.21087,-0.0506275,0.256956,0.118789,0.276921,0.14143,0.0498794,0.0437738,0.235619,0.157561,-0.0453586,0.0790291,0.0699719,0.00799149,0.156791,0.0865517,0.15964,0.161915,0.273138,0.137785,0.22885,0.101135,-171105,1.01751
-169572,0.846303,0.27095,4,15,0,169617,-0.00482048,0.973305,-0.0670211,-0.0522761,-0.109967,-0.133115,-0.00486445,-0.010917,-0.060306,-0.0895921,-0.00775712,0.118403,0.104971,0.0464971,0.0665295,0.0203957,0.00586545,0.0727723,-0.00921904,-0.0159303,0.0135204,0.0401844,0.0334753,-0.0145582,0.0329786,0.0175392,-0.0871652,0.00520076,-0.0126358,0.0834175,0.0535255,0.00744281,0.0211404,0.0396682,0.000183682,0.158917,-0.0260335,0.0748683,-0.0303275,-0.0151232,0.0339805,0.00357829,-0.00324022,-0.033914,0.00204301,-0.120877,0.0166157,-0.0404921,0.0549219,-0.00567776,0.0436438,-0.0103462,0.078863,0.0487499,0.0544519,0.0816865,0.071561,-0.00124538,0.0702433,0.207078,-0.0514139,0.255883,0.113145,0.295118,0.131331,0.0430352,0.058212,0.226156,0.154471,-0.0437789,0.074524,0.0730748,0.00699561,0.172079,0.0769611,0.157607,0.153459,0.16845,0.0579062,0.107027,0.0481594,-171133,1.01767
