# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_hreg_model
# start_datetime = 2025-04-21 08:03:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/rumovfi5.json
# init = 2 (Default)
# random
#   seed = 11565
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens.h-nondens/h2reg-hreg-20250421030307_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg-hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.5.8,beta.6.8,beta.7.8,beta.8.8,beta.9.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.5.9,beta.6.9,beta.7.9,beta.8.9,beta.9.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.5.10,beta.6.10,beta.7.10,beta.8.10,beta.9.10,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,mu_beta.8,mu_beta.9,mu_beta.10,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,sigma_beta.8,sigma_beta.9,sigma_beta.10,mu_inner_beta,sigma_inner_beta,betad.1.1,betad.2.1,betad.3.1,betad.4.1,betad.5.1,betad.6.1,betad.7.1,betad.8.1,betad.9.1,betad.1.2,betad.2.2,betad.3.2,betad.4.2,betad.5.2,betad.6.2,betad.7.2,betad.8.2,betad.9.2,mu_betad.1,mu_betad.2,sigma_betad.1,sigma_betad.2,log_p,rmse
# Adaptation terminated
# Step size = 0.250712
# Diagonal elements of inverse mass matrix:
# 1.10725e-05, 1.07049e-05, 0.0001002, 9.76974e-05, 9.4301e-05, 0.000102713, 0.000132899, 0.000106355, 0.000104352, 0.000105792, 0.000111864, 9.94535e-05, 0.00011977, 0.000125681, 0.000106856, 0.000115972, 0.000110783, 0.000113634, 0.000114229, 0.000141607, 0.000107474, 0.00011513, 0.000165707, 0.000133088, 0.000168642, 0.000152274, 0.00015813, 0.000196963, 0.000156723, 0.000132827, 0.000166558, 0.000168455, 0.000113895, 0.000110963, 0.000111314, 0.000127292, 0.000131632, 0.000138612, 0.000132857, 0.000113654, 0.000129385, 0.000134512, 8.05024e-05, 9.3384e-05, 9.34428e-05, 0.000109702, 9.1745e-05, 0.00010546, 9.94368e-05, 9.47859e-05, 0.0001064, 9.51084e-05, 0.000123448, 0.000122558, 0.000135251, 0.000147871, 0.000135287, 0.000118539, 0.000136631, 0.000138888, 0.000116177, 0.000142902, 0.000101876, 8.14935e-05, 9.73001e-05, 0.000102052, 0.000129929, 0.000112448, 0.000113483, 9.65314e-05, 0.000143812, 0.000103972, 0.00013843, 0.00013368, 0.000138031, 0.000186554, 0.000151195, 0.000159784, 0.000134619, 0.000176782, 0.000157686, 0.000154391, 0.000104253, 0.000122636, 0.000103513, 0.000103633, 0.000128914, 0.000119933, 0.000112358, 0.000128354, 0.000117266, 0.000121707, 0.000130722, 0.000113003, 9.03539e-05, 0.000151988, 0.000274407, 0.000281923, 0.000424167, 0.000225548, 0.000584165, 0.000204587, 0.0851956, 0.123995, 0.197988, 0.0975791, 0.0757666, 0.0872497, 0.102598, 0.085842, 0.0904597, 0.0911266, 0.000139187, 0.156327, 2.1383e-05, 1.87262e-05, 2.13964e-05, 2.13955e-05, 3.02141e-05, 2.56759e-05, 2.10798e-05, 2.24235e-05, 1.981e-05, 2.02987e-05, 2.04405e-05, 2.32355e-05, 2.48557e-05, 2.05202e-05, 2.72732e-05, 2.68116e-05, 2.26636e-05, 2.39294e-05, 0.00212048, 0.0009124, 0.0723677, 0.079972
-338774,0.872795,0.250712,4,15,0,338844,-0.00428873,0.974866,-0.00653761,-0.0434501,0.0417186,-0.0267856,0.0256997,0.0433848,0.0192004,-0.0343994,-0.0470161,-0.0359925,-0.065216,-0.0152799,-0.0194475,-0.00690045,-0.00350376,-0.030697,-0.021922,-0.0100084,-0.0471125,-0.063706,-0.0606016,-0.0200299,-0.0562014,-0.0324499,-0.0340191,-0.0311522,-0.0313712,0.0244955,-0.0481579,-0.0347874,0.0397927,0.0213532,-0.0197178,-0.0357116,0.0152123,-0.02344,0.0220018,0.0295915,-0.0680911,0.00570664,-0.0228922,-0.0298408,-0.0344153,0.0413262,-0.0801974,-0.0478931,-0.0371514,-0.0816982,-0.125982,-0.0291731,-0.0155193,-0.0355166,-0.0844135,-0.00789055,0.0789037,0.110056,0.0502892,0.0771157,0.0211443,0.0138638,0.0900329,0.00231165,-0.00327021,-0.0163878,0.045695,0.0307267,0.007803,0.0171306,-0.0121716,-0.0719166,-0.0141462,-0.0228909,0.0395698,0.0784592,0.0160552,0.037062,0.0316014,-0.001597,0.181354,-0.05177,0.0430871,-0.0396657,-0.0308141,0.00971636,-0.00999906,-0.0182857,-0.0075889,-0.0087036,-0.109216,0.00497589,-0.0089561,-0.0229766,-0.0370122,-0.015849,-0.0313193,-0.0454296,0.0450377,0.00623278,0.021801,-0.00990641,0.0329703,0.0142713,0.0308211,0.0279442,0.0391,0.0420907,0.0292333,0.0352516,0.104936,0.0499954,-0.0109591,0.0188903,0.132562,-0.043912,0.253645,0.123355,0.291228,0.129448,0.0488319,0.0695809,0.238596,0.14877,-0.0411708,0.108922,0.0726226,0.00575648,0.160383,0.0840677,0.142349,0.151898,0.182638,0.0648057,0.272595,0.0680932,-343413,1.02048
-338777,0.974583,0.250712,4,15,0,338829,-0.00522355,0.974945,-0.0396152,-0.0266344,0.0383875,-0.0107153,0.00159188,0.0347815,0.0398621,-0.0125466,-0.00343526,-0.0407176,-0.0579216,-0.0152823,-0.0237425,-0.0192989,-0.0302605,-0.0240747,-0.00413553,0.0153254,-0.0414495,-0.069954,-0.0777019,-0.0625905,-0.0643736,-0.0197603,-0.053387,-0.017649,-0.049134,-0.0189872,-0.043838,-0.0285177,0.0422261,-0.00131248,-0.00745613,-0.0475973,0.0085353,-0.0177704,0.00301454,0.027115,-0.0565989,0.0270196,0.00693474,-0.0252456,-0.0602987,0.0769591,-0.0841627,-0.0729841,-0.0568697,-0.0920821,-0.134331,0.00928988,-0.000975105,-0.0365025,-0.0667719,0.0164786,0.0862143,0.12476,0.0687913,0.0565115,-0.00605043,0.000313403,0.0784952,-0.00610061,-0.0372492,-0.0266991,0.0469704,0.0844519,0.000921133,0.023859,0.00939735,-0.0815516,-0.00754459,-0.0171458,0.0367199,0.0811017,-0.00300549,0.0290111,0.0359951,-0.00291427,0.170249,-0.0311536,0.0713373,-0.0232185,0.0137863,0.0471191,0.032075,-0.0205528,-0.00493731,0.00283015,-0.0768815,0.0047103,-0.000874945,-0.0273403,-0.0494266,0.000325335,-0.0031419,-0.0324169,0.00347793,-0.00570008,0.0273806,0.0084552,0.0298618,0.0307808,0.0431903,0.0378821,0.0575609,0.0629797,0.122997,0.0788851,0.0520991,0.0414905,-0.00746707,0.0141219,0.128877,-0.0369093,0.25718,0.121531,0.298852,0.129114,0.0466253,0.0613398,0.244835,0.148466,-0.0488071,0.0964099,0.0791416,-0.00640435,0.163813,0.0984658,0.147826,0.146319,0.0891936,0.145943,0.109648,0.112268,-343576,1.02113
-338770,0.940179,0.250712,4,15,0,338847,-0.00411005,0.975101,-0.00276299,-0.0368833,0.0343701,-0.0213907,0.0249319,0.037411,0.0159767,-0.0287875,-0.0408768,-0.0276851,-0.0607074,-0.0174617,-0.0126724,-0.00290443,-0.00331564,-0.0280197,-0.0234913,-0.0134815,-0.0474548,-0.067324,-0.0707263,-0.0194732,-0.0563715,-0.0295668,-0.0343442,-0.0283058,-0.0321318,0.0196074,-0.046376,-0.0354638,0.0313559,0.0221854,-0.0136074,-0.0372653,0.012236,-0.0240089,0.0250806,0.0311508,-0.0721823,0.00428461,-0.0259425,-0.032361,-0.0371751,0.0440664,-0.0834886,-0.0473817,-0.0390019,-0.0805974,-0.129824,-0.0282244,-0.0154281,-0.033062,-0.0840586,-0.00821186,0.0785726,0.111053,0.0507478,0.0780485,0.0196013,0.0115297,0.0913222,-0.00479172,-0.00678521,-0.0159282,0.0429616,0.0265474,0.00728322,0.0155585,-0.0150259,-0.0685008,-0.012168,-0.0195389,0.039873,0.0761391,0.0161365,0.0369921,0.0316838,-0.00182452,0.179341,-0.0527756,0.0419793,-0.0394174,-0.0320467,0.0122853,0.00274655,-0.0200355,-0.00669903,-0.00584715,-0.112177,0.00629582,0.00293105,-0.0232424,-0.0407539,-0.00323899,-0.0239517,-0.0418709,0.0262738,-0.00335413,0.0250623,-0.0248599,0.0298565,0.0231732,0.0254751,0.025857,0.0465137,0.0712589,0.0436045,0.0400038,0.111145,0.0346609,-0.00850149,0.01664,0.135752,-0.0461634,0.256651,0.126638,0.288992,0.134802,0.0497481,0.0720314,0.237033,0.155636,-0.044877,0.112346,0.0786963,0.00653913,0.161755,0.0900395,0.143842,0.153696,0.190433,0.139606,0.123039,0.116243,-343560,1.02108
-338769,0.996996,0.250712,4,15,0,338828,-0.00508727,0.973105,-0.00395992,-0.031845,0.0354731,-0.00955477,0.01185,0.043278,0.0372588,-0.0361729,-0.029672,-0.0325803,-0.0691692,-0.0248229,-0.0353901,0.0063205,-0.0203509,-0.0309637,-0.0200275,-0.0056679,-0.0456315,-0.0704135,-0.0738358,-0.0305656,-0.0579787,-0.04027,-0.0339096,-0.024011,-0.0206153,0.0101785,-0.0359186,-0.0162787,0.0172725,0.012442,-0.0163159,-0.0387772,0.0246788,-0.0269685,0.00054839,0.0302629,-0.074267,0.0150346,-0.0236517,-0.0400139,-0.046974,0.0438612,-0.0822614,-0.0475147,-0.0431362,-0.0801878,-0.152437,-0.0138639,-0.0152145,-0.0356659,-0.081308,-0.0106178,0.0800616,0.121781,0.0752684,0.0691918,0.0229347,0.0103438,0.076521,0.00249172,-0.0140287,-0.00281009,0.052619,0.0378146,0.0233519,0.0160885,0.00640418,-0.0550606,-0.0126365,-0.0126681,0.0490333,0.0832915,0.00281716,0.0311391,0.0238524,-0.0062922,0.17747,-0.0469818,0.0339312,-0.0357089,-0.0260456,0.00508922,0.0184589,-0.025238,0.0027055,0.000113116,-0.105929,-0.0078678,0.00439073,-0.0169137,-0.0307894,-0.00596404,-0.0120453,-0.0271609,0.0059327,0.00769552,-0.0255869,-0.0264419,0.0241412,0.0176621,0.0167806,0.0230489,0.0364665,0.0525032,0.0788903,0.0304683,0.112029,0.0320161,-0.0125607,0.017646,0.130051,-0.0454253,0.251769,0.123194,0.293104,0.127742,0.0461047,0.0674733,0.238319,0.156092,-0.0460629,0.105312,0.0741403,0.00722818,0.159967,0.0910028,0.143884,0.146355,0.124354,0.118411,0.130837,0.0817665,-343514,1.02071
-338765,0.96983,0.250712,4,15,0,338830,-0.00529682,0.973801,-0.0122633,-0.0281339,0.0387474,-0.00592793,0.00866324,0.0467501,0.0349588,-0.0368598,-0.0249421,-0.0336425,-0.0558144,-0.0211354,-0.0292209,0.00597569,-0.00912071,-0.0341789,-0.0227507,-3.12143e-05,-0.0390091,-0.0671785,-0.0657088,-0.027778,-0.058844,-0.041188,-0.0375296,-0.0106301,-0.0124129,0.00574607,-0.033104,-0.0182818,0.0229787,0.00452506,-0.0173148,-0.0370555,0.012251,-0.0283058,-0.00377609,0.0347703,-0.0724968,0.00699672,-0.0196388,-0.0356784,-0.0424928,0.0392854,-0.0777528,-0.0482897,-0.0497656,-0.0864543,-0.144164,-0.00928973,-0.0118562,-0.0409268,-0.0882784,-0.0150373,0.0782246,0.124786,0.0772478,0.0729742,0.0186703,0.0088842,0.0708182,0.00432993,-0.0176571,-0.00487816,0.0499845,0.0460166,0.0168805,0.0146757,-0.0100747,-0.0527095,-0.00873073,-0.0201129,0.0518741,0.0913524,-0.0030928,0.0338578,0.0153544,-0.00890895,0.182562,-0.0416982,0.0357487,-0.0325204,-0.0224848,0.00932374,0.0206269,-0.0256343,0.00576326,0.00278407,-0.0969112,0.000531664,0.000497938,-0.025296,-0.031797,-0.0168169,-0.000568354,-0.0242991,-0.00809644,0.00996621,-0.0267198,-0.0202904,0.0298221,0.0161076,0.0205611,0.0275492,0.0388446,0.0555569,0.0574848,0.0308392,0.102777,0.0276947,-0.00948676,0.0138249,0.131791,-0.0457518,0.25367,0.121609,0.294504,0.129373,0.0490519,0.0671835,0.239786,0.153723,-0.0457047,0.10449,0.0724859,0.0041366,0.16416,0.0941543,0.145012,0.151749,0.104317,0.110568,0.132062,0.0705097,-343586,1.02106
-338766,0.832784,0.250712,4,15,0,338831,-0.00506939,0.973837,-0.0454567,-0.043047,0.049815,-0.0321256,0.00349514,0.0353004,0.0337845,-0.022929,-0.023836,-0.0574643,-0.0682053,-0.00943401,-0.0168492,-0.0310798,-0.0096888,-0.0369342,-0.0208585,-0.0187365,-0.0471304,-0.0562095,-0.0770872,-0.0360428,-0.0577215,-0.0181415,-0.0332388,-0.012963,-0.0492542,0.000293044,-0.0427221,-0.0390808,0.057909,-0.0105857,-0.0076318,-0.0483086,0.020377,-0.0123237,0.0204115,0.0359812,-0.0536673,0.0177628,-0.00477232,-0.0313288,-0.0285902,0.0675058,-0.0773408,-0.0646184,-0.0554804,-0.0912408,-0.117418,-0.0261814,0.000949395,-0.0602123,-0.0684521,-0.00170964,0.0788718,0.114096,0.0518342,0.0744717,0.00970306,0.017917,0.0903636,-0.0121768,-0.0201402,-0.0253404,0.0461187,0.0489151,0.0130265,0.0201648,0.0039024,-0.0775485,-0.0161922,-0.0196509,0.0383928,0.0921651,0.00139061,0.0310369,0.0434604,-0.00256156,0.170233,-0.0396551,0.036806,-0.0296447,-0.0136349,0.0205353,0.0188171,-0.0237194,-0.00319031,-0.0149747,-0.10618,-0.00253721,-0.00624779,-0.0254481,-0.0422116,-0.00605206,-0.0170034,-0.0424905,0.0420041,-0.0121098,0.0353609,-0.0112268,0.0403653,0.0235633,0.0273626,0.0302094,0.0507502,0.0350229,0.0523574,0.0343474,0.0653828,0.0537005,-0.013728,0.0223484,0.132682,-0.0474818,0.254291,0.116525,0.298773,0.123597,0.042907,0.0620506,0.236254,0.152082,-0.0506894,0.103733,0.0820191,-0.00323599,0.167352,0.0822663,0.152945,0.156446,0.127156,0.0646639,0.080521,0.0822109,-343559,1.02096
