# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_model
# start_datetime = 2025-03-23 20:04:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/6ti7noxb.json
# init = 2 (Default)
# random
#   seed = 69587
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens/h2reg-20250323150456_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,mu_inner_beta,sigma_inner_beta,log_p,rmse
# Adaptation terminated
# Step size = 0.254252
# Diagonal elements of inverse mass matrix:
# 1.23676e-05, 1.15837e-05, 0.000124162, 0.000110272, 0.000128325, 9.75187e-05, 0.000125802, 0.000112458, 0.00013563, 0.00012675, 0.000127483, 0.000117605, 0.000186432, 0.000181929, 0.000144129, 0.000182866, 0.000221469, 0.000132653, 0.000141539, 0.00016013, 0.00014794, 0.000110327, 0.000100613, 0.00010667, 0.000111327, 0.000119519, 9.91148e-05, 0.000164917, 0.000112927, 0.000152942, 0.000127359, 0.000153368, 0.000113909, 9.83532e-05, 0.000110666, 0.000122881, 0.000130162, 0.000151973, 0.000120925, 0.000181673, 0.000204172, 0.000151727, 0.000141893, 0.000135674, 0.000124621, 0.000121248, 0.00015618, 0.000769192, 0.000246541, 0.00039058, 0.000580303, 0.000327608, 0.122918, 0.0876455, 0.0912283, 0.0879987, 0.0796625, 0.0011762, 0.46696
-178206,0.96065,0.254252,4,15,0,178232,-0.00760873,0.997665,-0.0468276,-0.0640206,-0.0569918,-0.13294,0.0439414,0.000652006,-0.0194778,-0.0487188,-0.00108756,0.0886013,0.115877,0.0449177,0.0775915,0.0247985,0.0325415,0.115585,0.0140784,0.0163019,0.00980664,0.0405378,0.0995986,0.00191249,0.077909,0.0355949,-0.0805225,0.0121728,0.0656218,0.0519882,0.074364,0.0250565,0.00435608,0.0394505,-0.00090762,0.187134,0.0211089,0.095396,-0.000528879,-0.0244314,0.0884185,0.0519092,0.0545044,0.0378231,0.0309119,-0.090214,0.0971293,-0.0365295,0.0652245,0.0196618,0.0150207,0.0288299,0.0576541,0.0291355,0.0592126,0.136503,0.0582343,0.0350628,0.0615969,-168017,0.993372
-178207,0.990533,0.254252,4,15,0,178234,-0.00785257,0.998204,-0.0503331,-0.0579581,-0.0525972,-0.142977,0.0385284,0.00271272,-0.0302597,-0.0647302,0.00288209,0.0926917,0.105277,0.0430832,0.0723723,0.0302531,0.032023,0.103967,0.0242493,0.0253588,-0.00688303,0.0417674,0.0970785,-0.00820616,0.0779393,0.037685,-0.0716769,0.0138697,0.0573011,0.0461933,0.0672218,0.020204,0.0169784,0.0490955,-0.00765861,0.191029,0.0127911,0.0982986,-0.00530736,-0.0292719,0.0579596,0.0568351,0.0581525,0.0487192,0.0504972,-0.100452,0.0867698,-0.049293,0.0563613,0.0103404,0.0468105,0.0260388,0.0490722,0.0267728,0.0650198,0.137132,0.0629684,0.0406029,0.0378696,-168023,0.993426
-178203,0.99633,0.254252,4,15,0,178227,-0.00927468,0.997619,-0.0617551,-0.0621874,-0.0651695,-0.111423,0.0392053,0.0179688,-0.025987,-0.0786688,0.00318417,0.0927755,0.099653,0.0645833,0.0831321,0.0139274,0.0332641,0.0911944,0.0420986,0.0252858,0.00642357,0.0296769,0.101942,0.0138886,0.0677273,0.0377597,-0.0723155,-0.00262359,0.0421322,0.0403448,0.0696174,0.0361702,0.0126253,0.0434731,-0.000660247,0.192408,0.0133238,0.0951035,-0.00297165,-0.0106198,0.0857368,0.0597812,0.0500395,0.0481671,0.0289084,-0.0845057,0.0733437,-0.0142235,0.0489306,-0.000296977,0.0650275,0.0233325,0.0609201,0.0520952,0.0498169,0.130304,0.0552861,0.00331309,0.0595026,-168011,0.99333
-178205,0.920155,0.254252,4,15,0,178240,-0.00965782,0.99831,-0.0298996,-0.0500086,-0.0729825,-0.134485,0.0398135,0.0125762,-0.0120727,-0.0788024,0.0174319,0.0883156,0.108135,0.0360937,0.063626,0.0227621,0.000228211,0.0773813,0.0344381,0.00969454,0.0143894,0.0517204,0.122281,-0.00395847,0.087355,0.031056,-0.0488818,0.016796,0.0677516,0.0552248,0.0492267,0.0344336,0.0537169,0.0518458,0.0103815,0.206597,-0.00587769,0.110506,-0.0102465,-0.0426472,0.0876061,0.0439239,0.0558228,0.0120134,0.0349859,-0.0995353,0.112603,-0.0134864,0.0390204,0.0789106,0.0396371,0.041693,0.0505894,0.0257786,0.0677622,0.0539191,0.0878557,0.0323602,0.0947095,-168005,0.993265
-178207,0.903073,0.254252,4,15,0,178238,-0.00865985,0.999549,-0.0592568,-0.0580822,-0.0517549,-0.12299,0.0507486,0.0187038,-0.0408291,-0.0829584,0.0132499,0.0908347,0.114514,0.06287,0.0815944,0.0107722,0.0230457,0.0981148,0.0191735,0.0129567,0.00223584,0.0140812,0.109857,0.00266416,0.0735991,0.0299916,-0.0729015,-0.00532808,0.0340501,0.0516565,0.0772184,0.0367087,0.0231978,0.058252,-0.016987,0.179496,0.00886747,0.10233,-0.0186159,-0.0117666,0.0845484,0.0540736,0.0516448,0.0326233,0.0224657,-0.0798305,0.0762001,-0.0450542,0.066839,-0.0378732,0.0801514,0.0165632,0.0481118,0.0518795,0.0631048,0.0657681,0.036417,0.0715357,0.108361,-168037,0.993526
-178205,0.956215,0.254252,4,15,0,178235,-0.00837027,0.997073,-0.0461039,-0.0542585,-0.0402097,-0.136023,0.0301126,0.0157213,-0.0228362,-0.079695,-0.0011242,0.0943953,0.123132,0.0741059,0.0663522,0.00622828,0.0229379,0.0907381,0.023378,0.00677927,0.0101997,0.03417,0.0968549,-0.0209235,0.0934324,0.0396546,-0.0492134,0.00842688,0.0616435,0.0471715,0.0630547,0.0357076,0.0141103,0.0492072,0.019461,0.20363,0.0121544,0.105855,0.00408259,-0.0246527,0.0938307,0.0639582,0.0345332,0.0163176,0.031067,-0.0936862,0.089743,-0.0448408,0.0811906,0.040422,0.0563317,0.0325092,0.0806347,0.0394842,0.0620037,0.0517706,0.0974452,0.0425912,0.0670225,-168017,0.993381
-178207,0.918975,0.254252,4,15,0,178246,-0.00855773,0.998464,-0.045681,-0.0575534,-0.0841239,-0.10646,0.0524163,0.00750447,-0.0323167,-0.0700913,0.0199987,0.0884139,0.0956205,0.024582,0.0809676,0.0258835,-0.00496982,0.0931564,0.033515,0.0204429,0.00985622,0.036542,0.124246,0.0292142,0.0618947,0.0277338,-0.0719418,0.00248856,0.0470392,0.0687173,0.0568658,0.0438117,0.0573037,0.0462959,-0.013663,0.19076,-0.00726273,0.109641,-0.012743,-0.0250042,0.0639396,0.0385477,0.0658599,0.0443486,0.0222987,-0.0615487,0.0807123,-0.0105738,0.0249939,0.01691,0.047692,0.0339756,0.0996206,0.0555718,0.0483212,0.0934921,0.0844139,0.0240481,0.0175815,-168002,0.99324
-178209,0.731522,0.254252,4,15,0,178244,-0.0073966,0.999176,-0.0474918,-0.0532888,-0.0626335,-0.121957,0.0392698,0.0261245,-0.0286536,-0.104871,0.0168164,0.0685829,0.115175,0.0561269,0.0652942,0.0362041,0.016449,0.0864016,0.0327624,-0.000802643,0.0223633,0.0449107,0.0939599,0.0220635,0.0889355,0.0249801,-0.0755107,0.0206107,0.0661188,0.0502992,0.0634931,0.0302577,0.030551,0.0638197,0.00924681,0.20474,0.00109092,0.116389,-0.014761,-0.0402257,0.0740452,0.0482721,0.068139,0.025338,0.0123962,-0.0720912,0.0953353,0.0697057,0.0606586,0.0512871,0.0292536,0.0176445,0.105829,0.0294959,0.0644368,0.0631378,0.0669396,0.0433093,0.0238065,-168024,0.993423
-178213,0.907741,0.254252,4,15,0,178241,-0.00723782,0.999891,-0.0313012,-0.0630683,-0.0572288,-0.127607,0.049,0.0204767,-0.0275222,-0.0672806,0.0128262,0.08283,0.0995885,0.0447392,0.0855266,0.00718821,0.00788517,0.0899978,0.034788,0.0296803,0.0156272,0.016662,0.091195,0.00917161,0.0765441,0.045677,-0.0630578,0.0269036,0.0342686,0.0608259,0.060672,0.0483189,0.0361555,0.0327576,-0.0237243,0.175807,0.00506982,0.121763,0.0151867,-0.0222525,0.0670852,0.073605,0.0484048,0.0319697,0.0329507,-0.0746098,0.0909555,-0.00117228,0.0334154,0.0233126,0.0651165,0.0618169,0.1215,0.0494823,0.0349206,0.0679424,0.0672399,0.0326827,0.0133707,-168006,0.993255
-178208,0.0653867,0.254252,4,15,0,178241,-0.00592451,0.999204,-0.0336875,-0.0628422,-0.058548,-0.127232,0.0456477,0.019625,-0.0281221,-0.0697248,0.013662,0.0808386,0.0997735,0.0449101,0.0832928,0.00958026,0.00256317,0.0877747,0.0391641,0.0301744,0.0151434,0.0167692,0.0956445,0.00679653,0.0767843,0.0425331,-0.060362,0.0270448,0.0319725,0.0619618,0.057797,0.0526734,0.0328807,0.0295696,-0.0180989,0.175068,0.00352451,0.124264,0.012915,-0.0239871,0.0707895,0.0726457,0.0493005,0.0313317,0.0299545,-0.0741812,0.0969134,-0.0115761,0.0325836,0.0156331,0.054252,0.0539176,0.113613,0.0469745,0.033197,0.0699009,0.0616774,0.0416746,0.0250874,-168003,0.99324
