# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2024-09-28 20:53:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/mcy1gukp.json
# init = 2 (Default)
# random
#   seed = 73349
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/nondens/multireg-20240928155345_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.470952
# Diagonal elements of inverse mass matrix:
# 1.93055e-05, 1.90082e-05, 1.90773e-05, 1.45319e-05
-49505.3,0.91493,0.470952,2,7,0,49506.6,-0.00110871,0.147396,0.128439,0.979575,0.131802,0.129493,-143961
-49507,0.842147,0.470952,2,3,0,49508,-0.00147258,0.152428,0.126803,0.9862,0.13709,0.127844,-143963
-49507.6,0.99002,0.470952,3,7,0,49509.2,0.00278227,0.146074,0.122568,0.977271,0.131238,0.123573,-143963
-49504.5,0.994283,0.470952,3,7,0,49507.6,0.000732387,0.149169,0.124599,0.980068,0.134093,0.125621,-143960
-49504.7,0.974169,0.470952,3,7,0,49505.3,-0.00153862,0.14581,0.124229,0.982143,0.130754,0.125248,-143961
-49504.8,0.992802,0.470952,3,7,0,49505.2,0.00228508,0.150803,0.124534,0.980903,0.135749,0.125557,-143961
-49504.4,0.989022,0.470952,2,3,0,49505.2,-0.00146098,0.150365,0.126421,0.982086,0.13506,0.127459,-143960
-49505.7,0.880697,0.470952,2,3,0,49506.2,-0.000416642,0.146743,0.120571,0.983425,0.132174,0.12156,-143962
-49505.3,0.975476,0.470952,3,7,0,49507.2,-0.00179705,0.146783,0.125662,0.978958,0.131548,0.126693,-143961
-49506.5,0.874126,0.470952,2,7,0,49507.3,-0.000615662,0.148245,0.127371,0.986243,0.132798,0.128416,-143962
-49506.4,0.97947,0.470952,2,7,0,49508.2,-0.00307914,0.143864,0.128387,0.981131,0.128247,0.129441,-143962
