# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-03-23 18:45:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/mfhsh0wi.json
# init = 2 (Default)
# random
#   seed = 28389
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/nondens/multireg-20250323134551_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.485985
# Diagonal elements of inverse mass matrix:
# 1.79146e-05, 1.86944e-05, 1.84611e-05, 1.46843e-05
-49654,0.998855,0.485985,3,7,0,49655.4,-0.00223702,0.143577,0.122658,0.988221,0.123832,0.123603,-47702.6
-49654.7,0.829852,0.485985,2,3,0,49658.2,0.00194923,0.141928,0.124957,0.987643,0.121957,0.12592,-47702.4
-49653.2,1,0.485985,2,3,0,49656.1,0.00352584,0.14372,0.127435,0.981391,0.123386,0.128417,-47696.5
-49653.8,0.952288,0.485985,3,7,0,49656.4,-0.00517858,0.151129,0.120599,0.986161,0.131387,0.121529,-47698
-49651.8,0.994982,0.485985,2,3,0,49654.9,-0.00223245,0.148069,0.120104,0.98441,0.128488,0.12103,-47696.9
-49652.2,0.975144,0.485985,3,7,0,49653,-0.00177364,0.147017,0.12965,0.981197,0.126303,0.13065,-47695.7
-49652.9,0.852666,0.485985,3,7,0,49655.3,-0.000661664,0.14186,0.120418,0.983294,0.122446,0.121346,-47699.3
-49651.3,0.94029,0.485985,3,7,0,49654.8,-0.00256775,0.147494,0.127223,0.98535,0.127062,0.128203,-47698.1
-49651.2,0.926144,0.485985,3,7,0,49653.2,-0.00237328,0.145242,0.122217,0.981651,0.125497,0.123159,-47696.4
-49652,0.813448,0.485985,3,7,0,49654.1,0.00238712,0.150248,0.12309,0.98274,0.13023,0.124039,-47693.8
-49651.2,0.903923,0.485985,2,3,0,49653.7,-0.00233322,0.150036,0.122674,0.983607,0.130076,0.12362,-47695.3
-49651.6,0.838516,0.485985,2,3,0,49653.3,-0.00134955,0.14489,0.121706,0.981133,0.125218,0.122644,-47696.1
-49653.1,0.956543,0.485985,2,7,0,49653.2,0.000216417,0.150451,0.129956,0.985056,0.129587,0.130958,-47696.5
-49651.7,0.954761,0.485985,2,3,0,49654.2,-0.00509313,0.14685,0.123673,0.980831,0.126873,0.124626,-47695.9
-49651.4,0.939661,0.485985,3,7,0,49653.1,0.00160933,0.146296,0.124843,0.981509,0.126194,0.125805,-47695
-49652.6,0.91787,0.485985,2,3,0,49653.1,0.00394445,0.144993,0.126805,0.983253,0.124694,0.127782,-47696.8
-49654.9,0.853018,0.485985,2,7,0,49656.2,0.00521134,0.150689,0.129241,0.982135,0.129904,0.130237,-47693.8
-49652.1,1,0.485985,2,7,0,49655.8,-0.00166369,0.146912,0.130285,0.983352,0.126124,0.131289,-47697.3
-49652.8,0.974329,0.485985,3,7,0,49653.8,0.000486045,0.14962,0.130424,0.983407,0.128726,0.131429,-47695.6
-49651.8,0.844409,0.485985,3,7,0,49657,-0.00471331,0.1468,0.12139,0.984759,0.127104,0.122326,-47698.4
-49652.4,0.941074,0.485985,3,7,0,49653.6,-0.00254685,0.149413,0.127573,0.986586,0.128874,0.128557,-47698.4
-49651.7,0.988346,0.485985,3,7,0,49652.9,-0.00216742,0.14535,0.12128,0.981211,0.125716,0.122215,-47696.1
-49651.8,0.976452,0.485985,3,7,0,49652.6,-0.00113819,0.143448,0.121376,0.983192,0.123865,0.122312,-47698.2
-49651.3,0.972322,0.485985,2,7,0,49652.7,-0.00403302,0.149726,0.125496,0.98182,0.129431,0.126463,-47694.8
-49654.1,0.769101,0.485985,2,7,0,49655.3,-0.00289794,0.146482,0.120936,0.97808,0.126852,0.121868,-47694.3
-49651.3,0.946165,0.485985,3,7,0,49657.7,0.00150556,0.148304,0.12666,0.983762,0.127914,0.127637,-47695.6
-49651.1,0.977157,0.485985,3,7,0,49652.2,-0.00455636,0.147495,0.12318,0.98248,0.127557,0.12413,-47696.3
-49654,0.793057,0.485985,2,3,0,49654.2,-0.00933752,0.146726,0.123902,0.985075,0.126726,0.124857,-47700.6
-49651.1,0.999266,0.485985,3,7,0,49654.3,-0.00253663,0.144242,0.125818,0.98428,0.124089,0.126787,-47698.9
-49653.1,0.877929,0.485985,3,7,0,49654,-0.00213133,0.152364,0.129338,0.982747,0.131512,0.130335,-47694.5
-49650.8,1,0.485985,2,3,0,49653.1,-0.00213227,0.149567,0.124142,0.983783,0.129443,0.125099,-47695.6
-49653.1,0.728614,0.485985,3,7,0,49655.1,-0.00267503,0.144289,0.126288,0.978849,0.124077,0.127262,-47695.8
-49651.3,0.988652,0.485985,2,3,0,49653.5,-0.00250245,0.147414,0.125175,0.985955,0.127235,0.12614,-47698.5
-49651.2,0.992125,0.485985,2,7,0,49652.3,-0.000856529,0.144817,0.125593,0.985164,0.124673,0.126561,-47698.8
-49654,0.807189,0.485985,2,3,0,49654.5,0.00412891,0.144468,0.120888,0.980856,0.12491,0.12182,-47695.5
-49652.7,0.948674,0.485985,2,7,0,49656.4,-8.62815e-05,0.143768,0.124051,0.979435,0.123847,0.125008,-47695.6
-49652.8,1,0.485985,3,7,0,49654.5,-0.00750258,0.148833,0.126086,0.98161,0.128495,0.127058,-47696.5
-49655,0.78696,0.485985,3,7,0,49656.7,-0.00350922,0.150957,0.122365,0.988795,0.131004,0.123308,-47700
-49652.9,1,0.485985,2,3,0,49655.9,0.00100402,0.148296,0.127489,0.979378,0.127805,0.128472,-47693.3
-49651.6,1,0.485985,3,7,0,49652.9,-0.00386645,0.14708,0.124702,0.986158,0.126969,0.125663,-47699.2
-49650.8,0.968995,0.485985,2,3,0,49652.2,-0.00351198,0.145496,0.124606,0.983345,0.12545,0.125567,-47697.7
-49650.8,0.988257,0.485985,3,7,0,49651.2,-2.3649e-05,0.146297,0.123171,0.98266,0.1264,0.12412,-47695.9
-49650.8,0.9188,0.485985,3,7,0,49651.9,-0.00318113,0.146717,0.126694,0.982933,0.126375,0.127671,-47696.8
-49651.3,0.881311,0.485985,2,3,0,49652.4,-0.00268833,0.148673,0.128188,0.983511,0.128084,0.129176,-47696.3
-49654.6,0.654425,0.485985,2,3,0,49656.8,-0.00792586,0.150812,0.119918,0.984306,0.131164,0.120842,-47697.7
-49651.2,0.988416,0.485985,2,3,0,49655.2,-0.00248492,0.144043,0.12593,0.982248,0.123883,0.1269,-47697.6
-49653.8,0.836289,0.485985,2,3,0,49654.3,-0.000943978,0.154711,0.126775,0.98364,0.134095,0.127752,-47693.7
-49654.1,0.981578,0.485985,3,7,0,49657,-0.00527213,0.154459,0.123658,0.984096,0.134232,0.124611,-47695.2
-49652.3,0.99902,0.485985,3,7,0,49655.1,-0.00389084,0.150087,0.124054,0.980013,0.129957,0.12501,-47693.6
-49658.2,0.613219,0.485985,2,3,0,49660.3,0.00767562,0.152264,0.119102,0.982275,0.132667,0.12002,-47693.1
-49653.4,0.995471,0.485985,2,7,0,49660,-0.000872614,0.145777,0.117531,0.982132,0.126587,0.118437,-47696.6
-49651,1,0.485985,2,3,0,49653.8,-0.000975037,0.150285,0.124849,0.983742,0.130051,0.125812,-47695
-49651.4,0.726016,0.485985,3,7,0,49655.3,-0.00418933,0.144642,0.12259,0.984111,0.12487,0.123535,-47698.9
-49651.5,0.867468,0.485985,3,7,0,49654.6,0.00181251,0.146981,0.126754,0.981927,0.126623,0.127731,-47695
-49652.5,0.902021,0.485985,3,7,0,49653.9,-0.00516292,0.147445,0.12061,0.985318,0.127823,0.12154,-47698.8
-49652.1,0.978613,0.485985,3,7,0,49654.2,0.00250585,0.147134,0.126559,0.98092,0.126794,0.127535,-47694.3
-49652.7,0.912243,0.485985,2,7,0,49654.3,-0.00455867,0.142885,0.125625,0.986017,0.1228,0.126593,-47701.8
-49651.2,0.991688,0.485985,3,7,0,49653.6,-0.00362646,0.149765,0.123257,0.983695,0.129743,0.124207,-47695.8
-49651,0.990083,0.485985,3,7,0,49651.9,-0.000860147,0.145029,0.127048,0.982805,0.1247,0.128027,-47697.1
-49653.1,0.76466,0.485985,2,3,0,49654.5,0.00175286,0.145259,0.119275,0.984952,0.125873,0.120194,-47698.2
-49651.5,0.936172,0.485985,3,7,0,49655.5,-0.00395823,0.147227,0.127947,0.981771,0.126715,0.128933,-47696.2
-49651.4,0.981536,0.485985,3,7,0,49652.5,0.00163054,0.147849,0.126078,0.98178,0.127545,0.12705,-47694.5
-49651,0.990341,0.485985,3,7,0,49652,-0.000115183,0.146158,0.125026,0.981221,0.126039,0.12599,-47695.2
-49652.2,0.875954,0.485985,2,3,0,49653.2,-0.00260811,0.145478,0.119465,0.984279,0.126061,0.120386,-47698.3
-49651,1,0.485985,2,3,0,49652.7,-0.00213206,0.144395,0.126014,0.983806,0.124213,0.126985,-47698.4
-49651.3,0.972115,0.485985,3,7,0,49651.9,-0.00190018,0.150898,0.123963,0.982608,0.130751,0.124919,-47694.2
-49651.3,0.915334,0.485985,3,7,0,49653.1,-0.00353135,0.150118,0.125234,0.98211,0.129842,0.126199,-47694.7
-49654.4,0.726956,0.485985,2,3,0,49655.8,-0.00747872,0.150204,0.127709,0.979893,0.129622,0.128693,-47695.2
-49650.6,0.976839,0.485985,3,7,0,49655.6,-0.00266675,0.146622,0.123298,0.983029,0.126699,0.124248,-47696.6
-49652.9,0.671627,0.485985,3,7,0,49655.5,-0.0021041,0.146423,0.126933,0.978678,0.126061,0.127911,-47694.5
-49652.6,0.961385,0.485985,2,7,0,49654.5,-0.00107667,0.152154,0.127498,0.984956,0.131534,0.128481,-47695.6
-49653.6,0.961082,0.485985,2,7,0,49654.4,-0.00184427,0.141632,0.119389,0.982427,0.122352,0.120309,-47699.3
-49652.6,0.97609,0.485985,3,7,0,49654.9,-0.00393356,0.143176,0.120254,0.982651,0.123739,0.121181,-47698.9
-49653.2,0.98186,0.485985,3,7,0,49654.7,0.000871057,0.149731,0.130723,0.984054,0.128796,0.131731,-47696.1
-49652.5,1,0.485985,2,3,0,49654,-8.93241e-05,0.149225,0.12855,0.986112,0.128574,0.129541,-47697.7
-49651.8,0.905913,0.485985,2,3,0,49654.8,-0.00461911,0.148789,0.127602,0.981629,0.128267,0.128586,-47695.6
-49651.3,0.997418,0.485985,3,7,0,49652.4,0.000229607,0.146387,0.121544,0.984278,0.126685,0.122481,-47697
-49652,0.968445,0.485985,2,3,0,49652.1,0.00157282,0.145578,0.121223,0.984727,0.125943,0.122158,-47697.6
-49652.3,0.968666,0.485985,3,7,0,49653.9,-0.00377427,0.147406,0.12942,0.98123,0.126708,0.130417,-47696
-49651.8,0.714448,0.485985,2,3,0,49656.8,-0.000756205,0.15022,0.128486,0.982883,0.129543,0.129477,-47694.8
-49651.6,0.994455,0.485985,3,7,0,49652.9,-0.00576024,0.144916,0.124513,0.982951,0.1249,0.125473,-47698.5
-49651.7,0.976542,0.485985,2,3,0,49652.5,-0.00356236,0.143694,0.127351,0.983803,0.123372,0.128333,-47699.3
-49651.2,0.881923,0.485985,2,3,0,49653.7,-0.000734904,0.144973,0.123822,0.985176,0.12504,0.124776,-47698.6
-49651.5,0.954173,0.485985,3,7,0,49652.3,-0.00147934,0.148838,0.12637,0.980612,0.128466,0.127344,-47693.9
-49651.7,0.989617,0.485985,3,7,0,49652.1,-0.000359745,0.149552,0.127584,0.981173,0.129008,0.128568,-47693.8
