# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-04-21 01:42:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/hsxu8ewu.json
# init = 2 (Default)
# random
#   seed = 53637
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/nondens/multireg-20250420204220_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.540605
# Diagonal elements of inverse mass matrix:
# 1.73201e-05, 1.90456e-05, 2.05907e-05, 1.45554e-05
-49521.3,1,0.540605,2,3,0,49522.4,-0.00170925,0.151008,0.124433,0.981531,0.134207,0.12537,-47834
-49520.9,0.993015,0.540605,2,3,0,49521.5,-9.43317e-05,0.150176,0.123068,0.98134,0.133555,0.123995,-47834.2
-49521.8,0.832747,0.540605,2,3,0,49522.5,-0.000359128,0.146887,0.124304,0.979734,0.130126,0.125239,-47834
-49521,0.661188,0.540605,2,3,0,49525.6,8.09632e-05,0.147859,0.122827,0.98289,0.131282,0.123752,-47835
-49522,0.67954,0.540605,2,3,0,49523.4,-0.000398598,0.150202,0.121001,0.978905,0.133847,0.121912,-47834.3
-49522.4,0.977142,0.540605,2,7,0,49522.9,-0.00216728,0.147291,0.125714,0.984664,0.130346,0.126661,-47835.5
-49524,0.840996,0.540605,3,7,0,49525.6,-0.00313678,0.14848,0.115879,0.983499,0.132793,0.116751,-47838.1
-49523.3,1,0.540605,2,7,0,49524.8,-0.000565055,0.152188,0.12849,0.980432,0.13486,0.129458,-47833.1
-49522,0.958864,0.540605,3,7,0,49525.7,0.00369556,0.148186,0.121285,0.983147,0.131805,0.122198,-47835.6
-49522.7,0.873875,0.540605,2,3,0,49523.4,0.00396125,0.14733,0.120835,0.979898,0.131012,0.121745,-47835
-49521.6,1,0.540605,2,3,0,49523,-0.000689212,0.151017,0.124378,0.983982,0.134224,0.125314,-47834.8
