density_bin,freq,count,log_cpy entropy,log_cpy variance,log_cpy median,field,log_cpy_variance
15.983,0.00013704262025489926,2,,,,Physics,
16.346,0.00034260655063724817,5,,0.0,0.6863808770279982,Physics,0.0
16.709,0.0006852131012744963,10,,0.15004676078923485,0.5756338376653245,Physics,0.15004676078923485
17.072,0.00034260655063724817,5,,,,Physics,
17.435,0.000753734411401946,11,,0.3060467905140496,-2.7755575615628914e-17,Physics,0.3060467905140496
17.798,0.0006166917911470467,9,,0.06786376246179576,0.9843003297430961,Physics,0.06786376246179576
18.161,0.000753734411401946,11,,0.2114115544613304,0.6811334987274076,Physics,0.2114115544613304
18.523,0.000753734411401946,11,,0.9141773427102861,1.0944212126043618,Physics,0.9141773427102861
18.886,0.000753734411401946,11,,0.684522721540635,0.9461246192171454,Physics,0.684522721540635
19.249,0.0004111278607646978,6,,0.11129733332423004,0.8069775765623497,Physics,0.11129733332423004
19.612,0.000753734411401946,11,,0.2082176763979405,0.37402475908026744,Physics,0.2082176763979405
19.975,0.0008907770316568453,13,,0.11408552124197305,0.22724378150306254,Physics,0.11408552124197305
20.338,0.0010278196519117446,15,,0.27987205087295264,0.5,Physics,0.27987205087295264
20.701,0.0012333835822940934,18,,0.39113506844247453,1.021189299069938,Physics,0.39113506844247453
21.064,0.001096340962039194,16,,0.20521642673592413,0.5243026667167507,Physics,0.20521642673592413
21.426,0.001507468822803892,22,,0.15009352814900676,0.5920757704213615,Physics,0.15009352814900676
21.789,0.0019185966835685898,28,,0.5574625483933343,0.6046298111541679,Physics,0.5574625483933343
22.152,0.0011648622721666438,17,,0.7457283165263251,0.9542425094393249,Physics,0.7457283165263251
22.515,0.0016445114430587912,24,,0.24368629502077382,1.1376556772709057,Physics,0.24368629502077382
22.878,0.0016445114430587912,24,,0.29071755158953394,0.6283889300503115,Physics,0.29071755158953394
23.241,0.001507468822803892,22,,0.3463335114967495,0.9336559786575475,Physics,0.3463335114967495
23.604,0.0017815540633136905,26,,0.16088387096026815,0.8502376796666679,Physics,0.16088387096026815
23.967,0.0017815540633136905,26,,0.2971103157936551,0.91204482964487,Physics,0.2971103157936551
24.33,0.0027408524050979853,40,,0.3998589996533185,0.7129843661361406,Physics,0.3998589996533185
24.692,0.002672331094970536,39,,0.46058896212824996,0.49884050441289873,Physics,0.46058896212824996
25.055,0.0029464163354803344,43,,0.7444085243070052,1.0413926851582251,Physics,0.7444085243070052
25.418,0.0034945868164999315,51,,0.5077619744262611,0.2038499229805969,Physics,0.5077619744262611
25.781,0.002192681924078388,32,,0.47654533556816653,0.4522976709946303,Physics,0.47654533556816653
26.144,0.0038371933671371796,56,,0.46476341755839906,0.8129133566428556,Physics,0.46476341755839906
26.507,0.0034945868164999315,51,,0.5450132465155196,0.6087933739869308,Physics,0.5450132465155196
26.87,0.004179799917774428,61,,0.28122913409686545,0.7279659778248622,Physics,0.28122913409686545
27.233,0.004727970398794025,69,,0.5755717514288995,0.7955323035132496,Physics,0.5755717514288995
27.595,0.0038371933671371796,56,,0.2982064224155805,0.6762699075568738,Physics,0.2982064224155805
